He, did you bike to work today?	3
I actually went by car because I felt tired when I woke up	3
I went for a long walk with the dog, in the rain. That was nice	3
Walking in the rain can be nice indeed	3
Sometimes I walk to work but that takes even longer	3
Walking to work is really exhausting for me	3
I really prefer to take the train or go by car	3
I usually take the bike when I go to work	3
Yesterday I went for a bike ride to the beach in the sun, that was lovely	3
lucky you! I thought there was to much wind to cycle	9
Do you ever go for a long bike ride to the beach?	3
I like taking long bike ride on the beach during sunrise	3
I will ride you on my bike to the bus stop today, to catch the bus to the train station	3
Maybe bike together to the bus? 	8
It has been a while since I biked but sure!	9
Biking can be very nice and relaxing way to exercise	9
True, and it is a great way to explore nature	9
But now with the electric bikes, it is getting more dangerous	9
So many people now have electric bikes!	9
But in traffic you have to pay more attention while biking	3
Yes, and to stay safe you have bike with a helmet	4
That is correct, biking with a helmet is much better	3
But I have bought a bike, and now take long rides also in the hills	3
Oh that is great, I do too!	3
We should go out more together on the bike, it will be fun!	8
Yes, we should! Let's plan for a activity next week	8
I am free next week and would love to plan a bike-ride together	8
Great, I will look for a nice scenic route we can take	9
Thanks! Looking forward	9
But now, I have to hurry for the bus, let's go	9
getting older I notice I don't like taking the buss as easy as I did before	9
what wrong with taking the bus? can you not walk to the bus stop anymore?	3
that's allright. I can walk to the bus stop	3
is it difficult to climb in the bus than?	3
hmm, no it is also fine to climb in the bus	3
okay, getting there; are you able to find a seat when your in the bus?	3
come to think of it; it's the ticketing system in the bus that changed	9
why is the ticketing system a problem	9
the changed the buttons on the ticketing system and now I have to ask people to help me	8
ah, so you might need new glasses to be able to take the buss	9
I think I will have my eyes checked!	9
What did you study?	7
I studied law, but went in a completely different direction	7
So what are you doing now?	9
I have done additional courses focused on management in healthcare	0
Oh, and do you work in that now?	7
Yes, my courses led to a management job in healthcare	7
What education did you do then?	7
A master's degree from the University of Rotterdam.	7
Did you learn a lot from that?	0
Yes, a lot that I can now apply in my job	7
are you still able to take showers?	4
I used to take daily showers, but lately I only take a shower once a week	4
How come, you don't take daily showers anymore?	4
due to the pain in my legs I depend on support to shower	4
that's to bad, do you still enjoy having a shower?	9
yes, very much, even though I need support and sit on a chair when showering	4
good to hear you are still enjoying the shower	9
Do you get help in household chors	5
Yes.I get some help from my kids, they are teenagers now	9
They help me with some  of the more simple tasks	5
What kind of tasks do they help you with?	1
They help me, for example, with vacuuming	5
Are they also responsible for cleaning their own rooms?	5
Yes, they are responsible for taking care of their own room	5
That's helpful and also a good way to prepare themselves for doing the household on their own one day	5
Yes, but there are still a lot of tasks to do	1
Yes, true	9
At the moment, I learn them to wash their own clothes	5
That.s an easy one, since the wasking machine is doing the work	9
Yes, but you still can do a lot wrong haha	9
For exmaple, combining the white with the coloured wash	5
Oops!	9
My wrist hurts when cooking food	5
Oh that's annoying, how come?	9
I think I have arthritis because my wrist seems thick	9
How does that hinder you in cooking then?	5
I am bothered especially when I am cutting ingredients	5
Have you tried cutting with a brace on your wrist?	5
that's a good idea, I'll give that a try	9
yes, I would do that, it helped me a lot when I bruised my wrist	9
Do you have a brace I can borrow for household chores?	5
Yes, I will look it up for you	9
many thanks!	9
I've known my best friend since kindergarten	6
Oh, that's special; have you been close all this time?	6
No, we lost track of each other for a while	6
How come you got back together?	6
I moved to the same town where she lives	6
It must be nice to have her around again?	6
Yes, it feels familiar	9
I can imagine; I have that with a friend too	6
We can easily meet up when we want to see each other	6
Yes, that's really an advantage!	9
Do you go to trainings for your work?	0
With us it is all training on the job and by doing	0
What kind of training it it?	0
It's mainly project management and sales	0
In what area do you like to develop yourself?	0
I would like some more education in leadership skills	0
Do you plan to do a course? 	0
Yes, I am about to ask my boss 	9
It would be great if you can start soon!	9
Yes, I am always in for learning new skills	0
It's difficult for me to get up from the toilet recently. 	4
Why so? Is it because your legs are weak?	9
I can' tell why yet. I just feel I have to use my hands to grap something to help myself getting up.	4
How do you usually get up from the toilet? Do you lean your body forward and then use the strength from you feets to help yourself get up? 	4
I didn't pay attention to that accutually. I should try later.	9
Yes, you can try this method, maybe it would help.	9
My kids haven't visited me for almost 2 months already.	6
Maybe they are busy with their work, even though they also want to visit you?	6
Yes, I think they quite busy and that's why I don't want to bother them.	6
Maybe you can have video call with them. Ask how are they recently and tell them that you miss them.	6
Good idea.	9
If you want to spent some time with them, or having dinner with them. You can just tell them your idea. Or you can invite them to your place or visit them at their places?	6
Aren't you going to France this summer?	3
Yes, I am as a mather a fact	9
Have you made any progess with your French lessons?	0
I did, but I think I'll do better when I'll be there	9
Do you really speak two languages now?	2
I would not consider myself a natural French speaker, but I can manage to order drink	8
I would like to learn Spanish, I don't like to learn French though	0
Oh how interesting, did you already start to learn Spanish?	0
No, I did not start to learn another language yet, I have asked information about Spanish lesson	0
Really nice! When do you aim to start?	9
Next summer, I will start to learn Spanish, hopefully in Spain!	0
Did you already decide wether you will buy another bicycle?	7
I have not, we are still thinking of buying e-bikes	7
Yes it can be a difficult process, there are so many choices to consider	0
So true, the offer is enormous and it makes it hard to decide	0
I understand! What do you still need before you can decide?	0
I would like to talk to people to help me decide	0
I could help, I have some friends with e-bikes and they already made up their minds	1
That would be awesome	9
Wait, I will give you their numbers, I  will make it much easier to decide for you!	0
You like to make decisions in your work?	0
And do you also like to make decisions about your personal life	0
Let me think about it for a while and come back to you	9
IThank you, I will think about it too!	9
It is quite stressful, and I can feel overwhelmed.	9
Do you often meet with family when you have a day off?	6
Yes, we are very close as a family and I enjoy spending time with them.	6
Do you also go on vacation together?	6
Ye, we go skiing together every year	6
Oh nice, in our family we only see each other on birthdays	6
Is that okay for you guys?	9
Yes, we're not that close	6
Do you have a brother or sister?	8
I have a brother, but we rarely see each other.	6
Does your physical disability have anything to do with that?	9
Yes, I can't travel far and we live far away from each other	3
That is unfortunate	9
Yes I did	9
I also send you a text message	9
yes, I saw that too	9
Did you understand the text? and how come you did not answer?	2
I understood you perfectly, but suppose I did not have time and forgot all about it	2
My phone is quite old, it is hard to communicate with it	2
maybe ring next time. that is always quicker	2
So when you call me, I might not hear you	2
Let's make an appointment in that case	6
Can you send me a text message if you want to tell me something	2
I will send you a spoken message instead	2
Otherwise you can try to call but I mights not answer	2
In that case I will take another turn	9
Today I was in a Zoom meeting with my team, I still can not believe how well it works	2
For me, it becomes more difficult to understand all these communication possibilites	2
I can imagine, the developments of possibilities to communicate have increased so much	9
I have bought an Iphone  but you have to help me understand how to use it	1
Sure! I would love to show and help you out	9
Can you show me how it works on yours?	9
I will later today	9
I heard from a friend that these phone can also make great photo's these days!	2
Yes they do, but we should not forget how important face-to-face communication is	9
I agree, I have a hard time to understand all the communication on a phone?	2
So you prefer to talk face-to face?	2
Yes I do, but I am willing to learn all the new options to communicate!	2
That is great, especially on your age	9
THanks! Talk later, I will call you with my new phone!	2
yesterday I drove 1400 miles by car, which is almost a personal record!	3
Wauw! I can imagine your were fatigued when you got home	9
I should be fatigued after this drive, but I went straight into the gym	3
that's tough! were you able to exercise after such a long drive?	9
exercising was hard after the drive, but it did help me to get my blood circling	9
so you felt refreshed after the exercises	9
yes, I would recomend everyone to perform exercises after long drives	9
lately stair climbing is becoming more tiresome	3
how come stairclimbing is more intens than it was before	3
I have been in the hospital recently and lost some weight	9
that might be a good explanation for a deteriorating physical fitness. Dit recieve any rehabilitation afterwards?	9
no I did not, because I never had trouble climbing the stairs	3
It might be a good idea to start exercising and strengthen your muscles for stair climbing	9
I thought taking more walk outside. Do you think that helps for stair climbing as well	9
in general you should be able to walk stairs if you take daily walks	3
do you still do your own groceries?	5
yes I do take my own groceries, but I am alway very tired when I get home	5
howcome the groceries make you tired?	5
the groceries seem to get havier by the month	5
is your fitness deteriorating do you think?	9
why would my fitness get any worse? I just as active as always	9
when getting older your muscles will get less strong unless you perform exercises	9
so you think my groceries are not getting havier, but I am getting less strong	5
yes, you might want to consider strength exercises to be able to do your groceries getting less fatigued	5
I clean the house every day, do you do the same?	5
We clean the house only on weekends.	5
Sometimes we also have to help my mother with tasks	5
Does she need a lot of help	9
Only for window cleaning and other heavy tasks	5
It can be difficult to help others and take care of your own household at the same time.	5
Yes, a double household is quite tiring.	5
Does your husband also lend a hand	9
Yes, he takes out the trash cans, but as far as I'm concerned he could do a little more	5
Familiar problem, haha	9
Hey, how are you today	9
Have you been reading in your new book?	1
I'm good. Thank you. Yes I have been reading my new book acutally	1
were you able to read all day?	1
No not really. I had to put it down a few times due to my headaches	1
I have not read in years due to headaches but now I can read again	1
And are you glad you are reading again?	1
Yes, very glad, it is so relaxing	9
And what do you like to read most?	1
A good thriller is really my favorite genre	9
He can you do some groceries after work?	5
I will do so, but first I need to finish my work	7
OK, I will talk to you later about dinner	6
Thanks	9
Did you finish your work?	7
Yes i did, it was quit a lot but finished for the day	7
Were you able to concentrate all day?	9
Yes, thankfully and  the new coffee machine also helped a lot	9
I know you have a lot of tasks, right?	1
Yes thats what made it so busy	1
What do you do when the stress gets too much?	1
I tend to just relax and sit in the sun	1
When driving the car, I hope you can still concentrate and leave the stress behind	0
I love driving, ti really takes the stress away	3
I want to finish my work but I did not organise my time well today	1
Sorry to hear, do you have the time tomorrow?	9
Hey did you go running this evening?	3
Of course, you know I always exercise a bit after work, otherwise I feel like I  only work and do not enjoy life	8
I understand, I feel the same, but I like to go to the gym instead and talk to people	8
Well, I used to go to the gym before and I already had many friends there, but now I rather to save that money	1
After all, there are many different things you can do to exercise without paying a coin	8
That is right, I also practice yoga during the weekend in a park, if you want you can join me next time	8
I would love to, I love yoga and nature	8
Great, see you next weekend then? we usually meet at 10:00	8
Perfect, then I can go there after breakfast	0
See you	9
What do you find the most annoying household chore to do?	5
I find that ironing, I do that as little as possible	5
By buying clothes that do not wrinkle?	5
Yes, actually that's how I deal with it, haha	9
That seems like a good option to reduce the household burden	5
I also have a clean up worker once a week	5
Oh good, with what tasks is he helping you out?	5
Especially with cleaning the toilets and bathroom.	5
Oh yes, those are pretty heavy tasks that have to be done at least once a week.	5
Yes, because of my back problem that's a problem for me.	9
Does your back still hurt?	9
Yes, especially in tasks where I have to bend over.	9
Great to have help then!	9
Goodmorning! How are you?	9
I am very well, just about to go with the kids to the playground and watch them while they play	5
Lovely, it is a perfect day to do so!	9
Yes, would you care to come along? It will be fun and you can help me to keep an eye on them	5
Sure, great and it is always fun to see kids play and enjoy themselves	5
Ok lets go, do you need anything else?	9
No, don't think so. Let;s just hope they won't climb the high tower, I am afraid to watch them if they climb	8
No they won't, we can watch them from the bench in the park	5
I always take a shower by myself	4
I sometines ask somebody to wash my back in the shower	5
It was so nice to dress myself for the wedding today	4
you look great, all dressed up!	9
When there is a party, I always dress in a black dress	4
when you dress black, that is really fancy	9
Because of my diabetes I have to eat on time, do you also need to eat on time?	4
eating in time is not that important for me	4
I love to carry snacks in my bag, so I can eat when I am hungry	4
it's a good idea to carry snacks in you bag	4
I definitely should drink more water	4
If you don't like drinking water, you can also drink tea	4
I know I have to look after my health, so I take my medication on time	4
And also, remember to look after your diet	4
Yes, I have had some great advice on how to manage my diet	4
Who gave you the advice?	9
I went to see a dietician and she helped me to make a plan	9
Sounds great, can you share the plan she gave you?	1
Yes sure, it is an easy plan to manage your diet and exercise	4
Is it a plan to balance your diet and exercise as you get older?	4
Yes it is, she explained how to make sure to get all the necessary intake to have enough energy for the day	4
And what did you learn from her?	9
Well, I am now eating more fruits and vegetables throughout the day	4
That sounds easy?	9
It is, and she also explained to exercise on a regular basis	4
What kind of exercise to you prefer to stay healthy?	4
I prefer to take long walks outside	8
Walking is a really good way to manage one's health	4
It is and we should plan to walk together so you can look after your health as well	4
Let's do so, and please share the advice of your dietician regarding a balanced diet!	1
My neighbor makes loud noise during the late night quite often recently.	6
Then you should tell him that you are bothered by the noise.	6
But I have good relationship with him. I feel quite embarrased to complaint about the noise. I have been tangled with the thoughts for a few days already.	6
No worries, if you are friends, he will understand you.	6
You know, I don't quarrel with my neighbor becasue of this.	6
Mentally speaking, if you have thoughts and complains, you'd better express how you feel. Otherwise, it might affect your mental health.	6
My friend from anti-war association and I feel quite angry about the U.S. blaming the conflicts between Ukrain and Russia.	8
What do you think about that?	8
Well, I think politians should help both sides to sit down and talk to resolve the conflict in a peaceful way. But not constantly sending weapons to make the situation worse.	8
But what can you do about it?	9
Of course there is something I can do.  Our association will hold a protest next week	8
How about your body situation, can you make it to the protest?	9
I think I am fine, as long as I control my emotion and avoid having conflicts with others.	9
who does the dishes in your house	5
well, that should be me doing the dishes	5
oh, why so?	9
oh, I suppose its kind of a tradition that the woman takes care of the dishes	6
can you still manage to do the dishes?	5
oh yes, but there is a difference compared to a couple of years ago in doing the dishes	5
how can you do the dishes different?	5
we were used to doing the dishes 3 times a day, when the kids were still at home	5
ah, you mean that you do the dishes not as many times as before?	5
yes, now sometimes don't do the dishes at all	5
it can become messy when you don't do the dishes, don't you think	5
I used to be more tidy with regard to the dishes than before, I suppose you're right	5
Do you like music?	8
Yes, I like music very much	8
Do you play an instrument yourself?	8
No, unfortunately not but I like to listen to music	8
What kind of music do you like the most?	8
I really like funk, soul and jazz.	8
Do you ever go to concerts?	8
Yes, I used to go to Prince concerts	8
Oh, that's fantastic, me too	9
Yes, what a great artist he was.	9
In the weekend, I love to prepare meals for myself and the family	5
we mostly prepare meals together in the weekend	5
On weekdays, I do not have much time to cook but I still manage to prepare something	5
I always chose simple recepies during the week	5
What is your favorite recipe?	5
I like to cook pasta with a nice veggie sause	5
Do you like italian food in general?	9
yes, I love it and I like to try all kind of recipes	5
What kind of knife do you use to cut the vegetables?	5
I have a special knife for that, just like a pro :)	5
Are you a  vegetarian?	9
No, but I limit my meat intake to once a week	9
when I got out of bed this morning I almost slipped	3
oh really, why did you slip?	3
not sure, I think my head was clear yet and I got up to fast	3
ooh, that is understandable, you should whatch out when getting up at your age	3
not funny, I never have trouble getting out of bed before	3
did anything change recently?	9
come to think of it, I did start medication recently and on the disclosure I read dissyness could be a side effect	9
a, well; there is you explanation than for nearly slipping!	3
Tomorrow I will have my first tennis lesson of the season, do you play tennis?	8
I play tennis, tough I'm not that good	8
Playing sports is important for your health	8
Yes, but also for social reasons	8
Do you prefer an individual or a team sport?	8
I prefer a team sport, because of the social part of it	8
Yes, that's also important to me	9
In the weekend  I play hockey in a team, we play competition as well	8
hockey is a great to play in a team	8
Were you not able to concentrate that well today?	0
I was not able to concentrate, even though I made a schedule with tasks	0
That is a great idea! I will make one to for my work	1
Let me know if it will help you as well	1
It worked! I arranged for the team to meet, all done now!	1
Wonderful that you got it all arranged	1
After work, I had to drive in so much traffic	3
It can be so hard to drive during rush-hour and concetrate on traffiic	1
Today I was home with the kids, had to take them to school, go back home and find time to clean	1
that is quite a busy day-schedule	1
I was so happy to manage the energy level througout the day and was able to complete it all	1
Well done and happy you managed to work and concentrate the whole day	1
did you talk with your parents about the thing the other day?	6
I tried to, but I did not get the chance?	9
