utterances	labels
“Did you manage to maintain your garden today?”	domestic life areas
“Yes, but I only watered the plants.”	domestic life areas
“When are you planning to mow the lawn, mate?”	domestic life areas
“Probably tomorrow morning. The grass seems to have grown too thick, so I could clear all of it nicely. ”	domestic life areas
“Do you need any help with it? ” 	interpersonal interactions and relationships
“Thank you so much, In fact. Any assistance lowering my old holly tree could make me glad if inclined for streamlining branches supported against outer house fencing too.”	domestic life areas
“When did problems related to your heating mechanism begin?” 	domestic life areas
“One day I woke up and realized I'd acquired no blanket,	domestic life areas
--------------------	--------------------
Hi, how have you been lately?	communication
Not so well actually. I haven’t been managing the house again like I used to.	domestic life areas
What do you mean?	communication
The plants in the garden haven’t been getting regularly watered.	domestic life areas
When did that usually happen?	domestic life areas
I’d usually water them in the mornings, but lately it’s been different.	domestic life areas
How has it been different?	communication
I’ve been experiencing some shoulder pain and haven’t been able to hold the watering can for too long.	self-care
Have you tried using irrigation system for the plants? 	domestic life areas
Yes, I have thought that too. But I need to replace sagging drip line,and it's not within easy reach within reach	domestic life areas
--------------------	--------------------
Hey, how are you feeling today?	communication
Oh, not too bad dear. It's just been getting harder to maintain the household.	domestic life areas
What has been difficult specifically?	communication
Keeping up with the yard work has been a struggle lately. Last week, I strained my back while trying to rake the leaves.	domestic life areas
That sounds tough. When do you usually work on the front lawn?	domestic life areas
I try to do it once every two weeks if it's not raining. I usually start early in the morning before it gets too hot outside.	domestic life areas
Have you considered asking for help?	interpersonal interactions and relationships
Yes, I have thought about asking one of my children, but they are already quite busy	interpersonal interactions and relationships
--------------------	--------------------
What did you do at home over the weekend?	domestic life areas
I spent most of the time cleaning the house.	domestic life areas
When did you start cleaning your house?	none
Around 9 am on Saturday.	none
That's early. How long did you clean?	none
I finished around 5pm and took a break for lunch and did small chores in between.	domestic life areas
What did you clean specifically?	domestic life areas
I vacuumed and filtered my carpets, dusted all of the cabinets, and arranged some of my appliances. It was quite an intensive cleaning task.	domestic life areas
It sounds like you had a couple of challenging things to the intended kind. Do you complete them easier when someone assists	interpersonal interactions and relationships
--------------------	--------------------
How was your day today? 	communication
It was a good day, dear. I managed to water all the plants. 	domestic life areas
Oh, I see. When do you take care of your plants? 	communication
Well, I usually do it once a week. Saturdays suit me better.	domestic life areas
Do you manage the gardening all by yourself? Such as planting, weeding? 	communication
No, not exactly. My daughter helps me with that. But for watering and occasional pruning, I do it. 	domestic life areas
Do you take initiatives while cleaning the house? 	communication
Indeed, It doesn't agree with fatigue. I wanted cleaners commercial. It makes home dirt-less satisfied for more entire week. 	domestic life areas
--------------------	--------------------
What did you do yesterday?	none
I cleaned my bedroom.	domestic life areas
When did you clean your bedroom?	none
I usually clean my bedroom every Saturday evening.	domestic life areas
How long did you spend cleaning your bedroom?	none
I spent about two hours cleaning my bedroom.	none
What did you do to clean your bedroom?	domestic life areas
I dusted my furniture, used a vacuum to clean the floor, remade my bed, and put my clothes in the closet or dresser drawers.	domestic life areas
How often do you water your plants?	domestic life areas
I water my plants every morning.	domestic life areas
Where do you usually purchase plants?	community, social and civic life
I buy plants from a local shed or nursery to keep inside and for seeds or gardening outside during suitable	community, social and civic life
--------------------	--------------------
What did you do today?	none
I found myself cleaning the bathroom all morning. 	domestic life areas
How often do you usually clean it?	domestic life areas
Once every week, but the tub needed extra scrubbing.	domestic life areas
Were you able to complete all your other domestic chores today as planned in addition to the cleaning?	domestic life areas
Oh indeed! I already finished dusting off tables yesterday. Tomorrow morning, perhaps rug washing can be done.	domestic life areas
Some maintenance is involved if you have a lawn, how do u perform maintenance?	domestic life areas
