utterances	labels
Have you been taking good care of yourself lately? You seem very energetic!	self-care
Yes, thank you. I try to stay active as much as I can.	self-care
That's great! How about washing and drying yourself, have you encountered any problems doing these tasks sometimes?	self-care
Well, I try to use bars of soap that are smaller and easier to grip without dropping them. I also keep a towel within arm's reach to avoid any slips in the bathroom.	self-care
Gotcha. How about drinking, are you comfortable enough in pouring your drink?	self-care
Not very. Occasionally, I struggle with trickier lids like on Spill-Proof cups. But, if it's friendly bottle or	self-care
--------------------	--------------------
Hi there, how are you doing today?	communication
Not too bad, thanks for asking.	communication
That’s great. So, can you tell me a little bit about your self-care routines?	self-care
Ah sure, I try my best to take care of myself as much as I can.	self-care
It’s great to hear that. How about drinking liquids? When and how do you usually have your drinks?	self-care
Well, I have milk with my breakfast around 7 AM. Then I have a cup of tea with a snack around 11 AM. Later in the day, I usually consume juice or water when I feel thirsty.	self-care
I see. Do you stir in sugar or milk in your tea as you open	self-care
--------------------	--------------------
How have you been, lately?	interpersonal interactions and relationships
Oh, I've just been taking it day by day. The simple things are becoming harder than they used to.	major life areas
Could you give me an example of what is difficult?	none
Lately, opening bottles has been harder than usual.	self-care
Really. When do you usually need to open bottles?	none
I normally get very thirsty and drink several times throughout the day. But as I messed up my shoulder lately, opening a bottle of water or something hurts badly. 	self-care
Have you tried using other alternatives like a water filter or drinking through a straw to help with the pain?	self-care
I've considered it for sure. I could give a straw a go, and lately	none
--------------------	--------------------
Do you have trouble with self-care activities sometimes? 	self-care
Yes, occasionally. It depends on the activity. 	self-care
What about drinking? Do you drink enough water every day? 	self-care
It can be difficult for me as sometimes I have difficulty gripping and opening bottles. 	self-care
Well, have you tried using a straw to drink instead? 	self-care
Actually yes, that works pin satisfying my thirst but sometimes positioning its coordination some angling dragens I aim ford water in required insiors of mouth 	self-care
Hmm, the location with angling is important. Do you ever miss your mouth accidentally or get any spillage? 	self-care
Occasionally, on windy sechers such sadi through vasb gars	self-care
--------------------	--------------------
Have you been managing to do your daily self-care activities lately?	self-care
Yes, but it has become harder as I’ve gotten older and as my body doesn't cooperate.	self-care
Could you share one activity with me?	self-care
Stirring liquids. I can do it to big loquids but with a spoon and I've almost had a synthetic liquid white exhausting.	self-care
Oh yeah, especially that Ex. maybe by any chance using utensils it could it better? 	self-care
Good idea I haven't notiy thought about something additionally. 	self-care
What time of day do you normally enjoy a nice cup of tea?	self-care
It's depends on the days but same way pressure sign shows noted then warming pains a	none
--------------------	--------------------
So, what did you do yesterday?	major life areas
Not much, It was just another typical day.	major life areas
Did you have your typical self-care activities?	self-care
Oh, yes I did! Tried few different self-care activities feels quite rejuvenating. 	self-care
Can ypou tell me what self car events you practiced at current stage situation?	self-care
Hmm, I usually start my day drkinking enough hydization before moving to others. As people can underestimate day-to-day functions needing increased her general water intake.	self-care
Absolutely, drinking enough water throughout the day feels as staple these days to lead a healthy lifestyle. 	self-care
Yeah, definitely. And then I took a long bath early and planned everyhting afterwards	self-care
--------------------	--------------------
So, how was your day today?	interpersonal interactions and relationships
It was alright, just the usual routine at home.	domestic life areas
What does that include?	communication
It includes taking care of my meals and spending time at home.	domestic life areas
How is your self-care routine generally?	self-care
It goes alright for me. Mostly the regular activities happen like brushing my teeth, washing and dressing etc.	self-care
Okay and how about preparing your meals and drinks for yourself?	domestic life areas
On my own I usually take bottled water, other drinks are usually ready-to-made Instant tea packs and these generally come in straw bottles easily opened.	self-care
That sounds easy for you. And what about preparing the foods that you had?	domestic life areas
I have most of my meals	self-care
--------------------	--------------------
How was your day today, sir?	interpersonal interactions and relationships
Oh, it was fine. I didn't do much except drink some tea this morning.	domestic life areas
That sounds nice. How do you usually make your tea? 	communication
Oh, my daughter usually boils water in the electric kettle, then she puts it in a teapot for me to make my tea.	domestic life areas
That's convenient. Do you have difficulty pouring the tea into a cup?	self-care
No, not really. She usually hands it to me, top is covered so I take it without spilling.	self-care
I see. Do you ever use a pinch grip or use utensils such as tea strainer to scoop limited items like sugar?	self-care
Yes, actually my	none
--------------------	--------------------
So how was your day today?	interpersonal interactions and relationships
Oh, it was a typical day really.	major life areas
Did any unusual self-care events happen?	self-care
Hmm, let me think. Actually, I had a bit of trouble opening the jar of applesauce at lunch.	self-care
Oh no. Were you able to eventually open it or did you need some extra help?	interpersonal interactions and relationships
After a few failed tries, I eventually got it opened by tapping it against the countertop.	self-care
Sounds like a handy trick.	none
Yes, I learned it a while ago. Another self-care event that has been slightly troublesome for me is pouring water into a glass without spilling them.	self-care
That can be tough. Are there certain times of day	none
--------------------	--------------------
How's your day going, my friend? Anything new happened recently about your daily behavior or schedule?	interpersonal interactions and relationships
Well, not really, I'm pretty routine. But I just noticed that an [afternoon incident] sometimes happened since the last week. Maybe because of the hot temperatures, those incidents didn't happen?	general tasks and demands
What do you mean by [afternoon incident] because of hot temperatures? 	communication
Ah sorry for not making it clear. You see, I often suddenly get faint in mid ***13*** afternoon time of the daily basisthat it occurs almost every other blow through noon time - bad dizziness making me drink watcer fast each now and go opening your even when abrøhad ogth detacbin	none
--------------------	--------------------
Have you been doing anything interesting lately, P?	none
Well, every evening around 6 pm, I make myself a cup of tea.	domestic life areas
That's cool. Do you pour the hot water by yourself?	self-care
Yes, at first, my daughter was hesitant about it but I’ve been quite successful in not emerging hot water and doing fine at the task all alone.	self-care
Have you thought about adding some honey to your tea, have been exercising proactively and effectively caring of your health from before? 	self-care
I'm not quite confident about opening bottles and getting my prescribed medicine myself. Health is important, but I tend to almost slip up at times.	self-care
Maybe your doctor provided resources, the recommended dosageand	learning and applying knowledge
--------------------	--------------------
What did you do this morning?	major life areas
Well, I woke up early to take a shower. It was quite hectic for me today.	self-care
How did you manage to wash yourself?	self-care
I had some difficulties, especially with drying since my balance is not that good.	mobility
Oh, I understand. How aout drinking water?	self-care
I always make sure to bring water in a bottle with an easy-open cap around for thirsty moments. But sometimes, if it's a larger bottle ishard for me pouring water without assistance.	self-care
Maybe you should try to use a cup with handles, or even a straw? I find that works well, im stead I rarely open bottle caps :	self-care
I've never really considered using	none
--------------------	--------------------
Hi, how have you been?	interpersonal interactions and relationships
Not bad thanks, just feeling a little low today. 	interpersonal interactions and relationships
Aw I’m sorry to hear! Is there anything you’d like to chat about?	interpersonal interactions and relationships
Not really, just having a difficult time taking care of myself lately. 	self-care
Oh bother, is there a particular time that you’re finding it tough, or is it in general?	self-care
Few times really. When I’m stirring things like soup and coffee, with getting higher arm strength it’s quite a work to do regularly.	self-care
That sounds frustrating. May be just sit it on table so you don’t need to stir shots can work. And regarding self-care? Are there any specific parts you are finding troublesome	self-care
--------------------	--------------------
How are you feeling today? Any good news to share? 	communication
Well, just the normal everyday routines. 	general tasks and demands
Oh, really? I wonder, how about your daily self-care events at home? Did you drink your coffee today or did any pouring or stirring liquids today?	self-care
smiledsure, have a self-awareness means you remember even the little things, yes hmm.. let me think this afternoon once I take a break, I just pour drinking water.	self-care
Excellent, That sounds normal to most, so how'd like to remind yourself that you would like better your valued initiatives, comments or compliments for performing routinely done ? 	communication
Gee, its tough isolating thing you know, just with	none
--------------------	--------------------
How has your week been so far?	major life areas
It's been busy as usual. 	general tasks and demands
have you been keeping up with your self-care routine?	self-care
Well, for the most part, yes. 	self-care
I noticed you have some difficulty with grasping and hold onto things. Do you have a hard time with anything of that nature when you pour liquid or use a straw, for instance?	mobility
I had trouble pouring water into a cup earlier without spilling but usually I don’t struggle with using a straw. 	mobility
That makes sense. Is there anything specific you find helps you keep successful with liquid use or what it helps when somebody assists you 	communication
Sitting and placing the can or bottle placed inside my	none
--------------------	--------------------
How are you doing today?	communication
I'm doing OK. How about you?	communication
Can't complain. Hey, have you been taking care of yourself recently?	self-care
Yes, I try to take care of myself as much as I can.	self-care
That's good to hear. Do you exercise often to stay healthy?	self-care
Not really. I have never had a regular exercise routine since I’ve gotten older. 	mobility
Oh, when did this start or why is that?	mobility
Yeah, I get exhausted easily and intimidated with even gentle actions due to continuing stiffness happening with arthritis and it became difficult for me moving all of the body cells : Whenever I exercise, especially stretch exercises for few times like Yoga feel	mobility
--------------------	--------------------
Hi, How are you doing today?	communication
I am fine, thanks. How about you?	communication
I am good. I was just checking up that you are taking good care of yourself these days.	interpersonal interactions and relationships
Oh, yes definitely! I pay extra attention towards my daily weight and frequent moods.	self-care
That's good to hear. How often do you take home-cooked meals and walk?	self-care
I take home-cooked groups especially designed for my type by certain heart felga to keep certain alert conditions under check. That happened around some time over clinic. On-the rest I alternate going following floor-room galdroom or routine	none
Healthy diet matched along some workouts is important really important called self-exercise .	self-care
--------------------	--------------------
How was your day today, Joyce?	interpersonal interactions and relationships
It was fine, thank you for asking.	interpersonal interactions and relationships
What kind of things did you do today?	none
After breakfast, I took medications that I need. Then I got covered to keep myself warm like always 	self-care
That's good, when did you have breakfast?	interpersonal interactions and relationships
Well, before I got myself getting washed and clothed 	self-care
Got it, so washing and dressing are both important parts of self-care for you?	self-care
Yes, they really are very important for my personal advocacy since I do activities of other da activities of daily living on the tail end during breakfast 	self-care
And how about exercises and staying healthy? What kind of self-care events are helpdef	self-care
--------------------	--------------------
Hey, how have you been doing these days?	interpersonal interactions and relationships
Good days and bad days, I guess.	interpersonal interactions and relationships
Anything specific bothering you?	interpersonal interactions and relationships
I think sometimes it's challenging to take care of myself as I am aging.	self-care
Yeah, I can imagine that to be tough somedays. What sorts of issues are gruelling you regarding self-care these days?	self-care
Just being able to do little excercises daily, not having enough time and lack of motivation enable me from taking care of my body.	self-care
Yea, small walks or other leisure activities can improve your mood too. How are you getting good nourishing diet then?	self-care
Lately, I go online and read a lot, finding recently healthy	learning and applying knowledge
--------------------	--------------------
How have you been recently, anything new you have been doing?	interpersonal interactions and relationships
