utterances	labels
How was your day, by the way?	interpersonal interactions and relationships
Not bad, but my neighbor is really difficult to deal with.	interpersonal interactions and relationships
What makes you say that?	interpersonal interactions and relationships
Well, she's really demanding and won't give me any space.	interpersonal interactions and relationships
Hmm, that must be frustrating. How do you usually handle it?	interpersonal interactions and relationships
I try to avoid her as much as possible, but sometimes you can't avoid it.	interpersonal interactions and relationships
Have you tried to talk to her about it?	interpersonal interactions and relationships
Yes, on several occasions actually. But she seems to completely dismiss everything I say.	interpersonal interactions and relationships
That sounds tough, perhaps you could also involve a third party like a mediator to help resolve the issue?	interpersonal interactions and relationships
That's a good idea. I'll	none
--------------------	--------------------
How has your day been so far?	none
Not too bad, thank you for asking.	none
Did you do anything interesting today?	none
Yes, I was talking to my next-door neighbor.	interpersonal interactions and relationships
oh, how was your conversation?	none
It was fine until we started talking about politics.	interpersonal interactions and relationships
That can be a touchy subject. What happened?	none
We have different opinions and things started to intensify really fast. 	interpersonal interactions and relationships
How did you handle it?	interpersonal interactions and relationships
I tried to keep my voice low and calm down. However, we still ended up disagreeing and ending the conversation.	interpersonal interactions and relationships
Well, handling disagreement in discussions can be a good way to practice keeping tensions low.	learning and applying knowledge
Yes,	none
--------------------	--------------------
What did you do yesterday, Mrs. Johnson?	major life areas
Yesterday was a busy day for me. My neighbor asked me to water her plants while she's out of town, so I went to her house in the morning.	domestic life areas
That was kind of you. Did you have a chance to interact with anyone else during the day?	interpersonal interactions and relationships
Yes, I stopped by the supermarket on my way home. While I was standing in line I saw a lady I used to know from church, so we chatted a little bit.	interpersonal interactions and relationships
That must have been nice to catch up with her. Were there any challenges when you were talking with the lady?	interpersonal interactions and relationships
Well, she was asking me about some recent events in the church, but	communication
--------------------	--------------------
How was your day today? Anything interesting happen?	communication
It was a decent day. Nothing interesting, really.	none
I see. Well, how about yesterday? Anything noteworthy?	communication
Actually, I went for a walk in the park.	mobility
Oh, that's nice! Did anything interesting happen while you were there?	communication
There was an unruly child who was aggressively pushing past everyone on the busy footpath.	interpersonal interactions and relationships
That must have been frustrating. How did you handle it?	communication
I simply kept a safe distance and chose another path.	mobility
That seems like a wise decision. Anything else happen whileyouwere on your walk? 	none
Not really but did see another senior pakrer singing along with	community, social and civic life
--------------------	--------------------
Can you tell me more about your day today?	major life areas
I am always in the room. No one speaks with me, and I don't want to bother them.	interpersonal interactions and relationships
That sounds difficult for you.	interpersonal interactions and relationships
Sometimes I try to say hello to people but they seem too busy or don't hear me.	interpersonal interactions and relationships
Has this been happening frequently?	interpersonal interactions and relationships
Every time I leave my room, really. I am used to it.	interpersonal interactions and relationships
I'm sorry to hear that. Have you mentioned this to anyone here before?	interpersonal interactions and relationships
Yes, many times. But the response was always a confused look on their face and saying they will do something about it. But it never changes.	interpersonal interactions and relationships
That must be disappointing. Have you	none
--------------------	--------------------
How are you feeling today?	communication
Oh, not too bad, thanks for askin'.	communication
That's good to hear. Tell me, have there been any events in your daily life that challenged your abilities to interact with others?	interpersonal interactions and relationships
Yes, take yesterday for instance. I had lunch with some old buds from work after a long while being apart from them. They were joking and laughing around like before, but some of their language left me feeling left out. 	interpersonal interactions and relationships
What kind of language did they use that impacted you negatively?	communication
It seemed injurious to minority groups that I belong to, which made me feel uncomfortable joining in their exchanges so often like we did at one time	interpersonal interactions and relationships
That must have felt	none
--------------------	--------------------
Hey, how was your day today? 	interpersonal interactions and relationships
It was alright, nothing special.	major life areas
Did any interesting interactions happen that you want to tell me about? 	interpersonal interactions and relationships
Well, not particularly. I did go to the grocery store and the cashier was really friendly.	community, social and civic life
That's nice, how did you interact with them? 	communication
I just made small talk and smiled. They asked me how my day was going and I answered. It was a small interaction but it made me feel good. 	communication
That's great. Have you been experiencing any conflict with anyone lately? 	interpersonal interactions and relationships
Actually my grandchild and I had a little disagreement the other day. 	interpersonal interactions and relationships
Oh no, what happened? 	interpersonal interactions and relationships
--------------------	--------------------
How are things going with you?	interpersonal interactions and relationships
Oh, hi. It's been tough these days.	major life areas
What happened?	interpersonal interactions and relationships
Yesterday, I went out to buy some groceries, but people seemed to block me.	mobility
Hmm, how is your communication with people usually like?	communication
Well, generally I can communicate in a friendly and kind manner with others, but yesterday they refused to listen to my thought.	communication
Maybe the other side has a special encounter. Did they share why this was happening?	interpersonal interactions and relationships
No, no and sadly they refused gently sharing anything about their overall costumer-dependent principles that can be caused some authentic void about this utter dilemma.	none
F :Oh, so no comprehension occurred after composing some messages to request	communication
--------------------	--------------------
How was your day today?	communication
Oh, it wasn't bad. 	none
Did anything interesting happen?	communication
Actually, yes! I talked to a friend I hadn't spoken to in awhile.	interpersonal interactions and relationships
That's great! Why did you reach out to them now? 	interpersonal interactions and relationships
I had been feeling pretty down lately, and I missed having conversations with them about everyday life. So, I mustered up the courage to initiate a conversation with them.	interpersonal interactions and relationships
That takes some real courage and initiative. How did the conversation go?	interpersonal interactions and relationships
It went really well! My friend was super understanding and listened to everything I had to say. And even though it has been a little while since we spoke, everything felt really natural	interpersonal interactions and relationships
--------------------	--------------------
I see you seem a bit down today. How has your day been, my friend?	interpersonal interactions and relationships
Well, not bad. It's just that my nephew came to visit and things didn't go too well.	interpersonal interactions and relationships
What happened with your nephew?	interpersonal interactions and relationships
He wanted to eat some cookies that belonged to one of my grandchildren, but I told him they were not for him. And then we ended up arguing.	interpersonal interactions and relationships
Oh no, that doesn't sound pleasant. How did that make you feel?	interpersonal interactions and relationships
I feel upset. He should understand and not be simple while interacting with people staying with me. Eventually, residents of the of my caregiving require reliable assistance.	interpersonal interactions and relationships
F& I understand. I myself find arguments hard to cope	none
--------------------	--------------------
How was your day today?	communication
Rather uneventful. I stayed home all day reading.	learning and applying knowledge
Oh, what book did you read?	communication
It was a romance novel set in France.	learning and applying knowledge
