utterances	labels
So how is your day going so far?	none
It's been alright I suppose, just trying to get through my daily routine.	general tasks and demands
What kind of tasks do you usually have on your daily routine?	general tasks and demands
Well, nothing too complicated these days. I wake up and take my medication. Then, I have breakfast usually, watch some news, and then go for a walk if the weather is nice.	general tasks and demands, self-care, mobility
That sounds like a nice routine. Does anything stressful or demanding come up during those tasks?	general tasks and demands
Sometimes simple tasks like cooking or cleaning can become overwhelming and drain me of my energy, but I usually take things slowly to make them more manageable.	general tasks and demands
That's understandable. Have you considered asking for help with those	interpersonal interactions and relationships
--------------------	--------------------
What do you usually do during early mornings, Ms. Nelson?	major life areas
I take a little walk, prepare my breakfast, and open the newspaper to start my day.	domestic life areas
That's great. How do you prepare your breakfast?	domestic life areas
I usually cook some scrambled eggs, prepare some toast and add fruits and a glass of low-fat milk.	domestic life areas
That's healthy. How do you manage to do everything all at once?	general tasks and demands
Well, through time-used skills and regular dial setting I manage to cut down my time to get everything done efficiently. 	general tasks and demands
Seems like quite the task alright, Do you do anything outwork-like mid-day?	major life areas
Actually, yes. Right after lunch, I practice my piano work for	learning and applying knowledge
--------------------	--------------------
What do you like to do to keep busy during your day? 	general tasks and demands
I clean my apartmenttwicea day. 	domestic life areas
surprised That's a lot of cleaning! When do you do it?	none
I do immediately afterwalking a dog every morning.do it againbefore Sleeping, thus usually happen at 8 PM.	domestic life areas
Do you think cleaning helps you to relieve your stress?	none
I think so.Cleaninghelps lot after the Surgery last year.	general tasks and demands
Do you haveappointmentregular and yoga in hall medical rehabilitation establishment?	community, social and civic life
Yes.Leave foFriday mornings.I do exerciseforwarddoctor-directed.	community, social and civic life
--------------------	--------------------
Hi, how have you been lately?	interpersonal interactions and relationships
Oh, just taking it day by day.	none
I understand. Have you been keeping busy with any activities recently?	interpersonal interactions and relationships
Well, I suppose keeping up with the housework keeps me moving.	domestic life areas
That sounds good. How specifically do you usually manage your daily tasks?	general tasks and demands
Mostly I start with some light cleaning in the morning, then I’ll go through my mail and pay any bills if I need to. Later in the day, I’ll prep dinner, feed the cat, and settle in with a good book.	domestic life areas
It seems like you typically have quite a full day! How do you when you need to take breaks?	general tasks and demands
Oh, well I take plenty	none
--------------------	--------------------
How was your day today?	interpersonal interactions and relationships
It was confusing and exhausting. There were many unexpected things happening today.	general tasks and demands
What kind of unexpected things?	communication
I received a call from my supermarket saying there was an error in my last transaction, and I have to come to the store for them to fix it.	domestic life areas
Oh, that's unfortunate. Did you go to the store to sort it out?	interpersonal interactions and relationships
Yes, I did. But when I came back, I couldn't remember if I turned off the oven. I had to go back and check it.	self-care
That sounds stressful. Did you turn it off?	interpersonal interactions and relationships
Yes, it was off. Fortunately. But then I realized that I forgot to deposit the money	domestic life areas
--------------------	--------------------
Hey there! How have you been feeling lately?	interpersonal interactions and relationships
I’ve been ok, just a little tired.	self-care
What’s keeping you busy these days?	interpersonal interactions and relationships
Oh, I’ve been doing some light gardening outside, just planting a few flowers and such. It’s not really anything crazy.	domestic life areas
I’ve always found gardening challenging. How have you managed so far?	learning and applying knowledge
It’s not too hard. Mainly getting up from the chair can be dizzying sometimes though.	mobility
What other things are on your daily to-do list?	general tasks and demands
Sometimes I go take a walk around the park or try to cook for myself. It’s just hard standing for too long these days.	mobility
When do you usually go for	community, social and civic life
--------------------	--------------------
Have you had to manage any unexpected tasks lately?	general tasks and demands
Oh yes, yesterday I received a phone call and had to organize a medical appointment quickly	general tasks and demands
That must have been stressful. How did you adapt to the situation?	general tasks and demands
I took some deep breaths and then directed myself to make sure there fit an urgent medial specialty appointment in my schedule whiting the available spots	general tasks and demands
Wow sounds like you managed it well, did you have any difficulty in executive control understanding their instructions?	learning and applying knowledge
Yes it was acting tricky when remotely I dropped for instance wireless connections accidents.	general tasks and demands
Were you through explanations to contact with medcial service centers?	communication
yes medical persone nicely accommodated errors promoting contact routine with back up numbers and	communication
--------------------	--------------------
How are you feeling today?	communication
Oh, I'm feeling okay, just a bit tired.	self-care
What have you been up to today?	none
Just some mundane tasks like laundry and cleaning up around the house.	domestic life areas
Do you find those kinds of tasks challenging? 	general tasks and demands
Well, sometimes I do...When I have to move heavy things around or bend over a lot, it can really take a toll on me.	mobility
I can imagine...do you have a specific routine for chores?	communication
Yes, I try to break up tasks throughout the week rather than doing everything in one day. It makes it easier for me to manage all of it along with my other duties. 	domestic life areas
Sounds very practical!	none
--------------------	--------------------
How was your day today,?	none
It's the usual routine for me. Woke up in the morning, took a quick shower, and made breakfast.	domestic life areas
Are there appointments scheduled for you today?	none
Not really, just a doctor's visit in the afternoon.	general tasks and demands
How about other household tasks?	domestic life areas
I need to do laundry, water the plants, and clean the bathroom later. These tasks usually take me one to two hours.	domestic life areas
That sounds productive. How often do you do these household tasks?	domestic life areas
I always plan them on the weekends and complete them within the day.	domestic life areas
That's good to hear. So, how do you manage those activities, to allow all the tasks to start	none
--------------------	--------------------
Hi, how are you doing?	interpersonal interactions and relationships
Oh, not too bad, thanks. Just feeling a bit exhausted lately.	interpersonal interactions and relationships
I see. What have you been up to lately that's been making you so tired?	interpersonal interactions and relationships
Well, just the usual stuff really, like shopping and cleaning.	domestic life areas
Do those tasks take a lot of time for you? How do you manage them all in one day?	domestic life areas
It depends. Sometimes I can manage fine, even with my condition. But other times I find it quite tiring to do everything around the house. 	domestic life areas
I understand. Can you tell me a bit more about how you're managing your daily routines on those particularly challenging days?	domestic life areas
I usually just try and	none
--------------------	--------------------
Hello! how are you doing?	communication
Not bad.	none
Are there any interesting events or tasks that you had to carry today?	none
Oh, yes. I had to do some groceries in the morning.	domestic life areas
Alright, did you have any difficulties while doing it?	none
Actually, it was all good till stand in a long queue for payment.	domestic life areas
So, how did you handle that?	none
I tried to distract my attention by looking the surroundings.	none
That seems like a sensible way to deal with that scenrario ?	none
Yeah, I unruffled my stress quickly and without issues?	none
That's great to hear! How about other interactions you have during the day? Are you able	interpersonal interactions and relationships
--------------------	--------------------
Did you have any errands to run today?	general tasks and demands
Actually, I did. My granddaughter helped me make a grocery list and we went shopping in the morning.	domestic life areas
That's wonderful! How did you feel during the shopping trip?	interpersonal interactions and relationships
Well, I get tired more easily nowadays. Fortunately, my granddaughter mainly pushed the cart and she commended me on being able to retrieve most things without any issue. 	mobility
I see. Sounds like you handled that situation smoothly. Are there any other typical tasks you need to do regularly?	general tasks and demands
Overall, I like cooking. but I must admit sometimes face the effort too wearisome. Still, regularly, I prepare two significant dishes, diverse courses, alongside a  side.	domestic life areas
--------------------	--------------------
How was your day, did you do something interesting lately?	communication
Well, not really. Mostly wake up in the morning, sit down and read routine newspaper.	domestic life areas
