utterances	labels
Hi, how are you feeling today? Have you done anything interesting lately?	interpersonal interactions and relationships
Hi there. Good to see you. Well, I attended a friend's daughter's wedding last weekend. It was such a lovely event.	major life areas
That sounds nice. Who got married, and where was the wedding held?	interpersonal interactions and relationships
Susan. She's my neighbor's daughter. The wedding took place in a little chapel by the lake.	interpersonal interactions and relationships
Oh, nice. Did you enjoy the ceremony?	interpersonal interactions and relationships
Oh, yes. Everything was so simple and elegant. I especially liked the bride's gown and her bouquet of sunflowers and peonies. It was quite charming.	major life areas
It sounds like it. Did you get to socialize with the	interpersonal interactions and relationships
--------------------	--------------------
Hello, it's very nice to see you. What’ve you been doing lately? 	communication
Hi. I just attended a couple of charity events this week. 	community, social and civic life
Oh, did you enjoy it? 	communication
Yes, very much, I think charities are especially hugely important nowadays, and in seeing good results around some campaigns, it to supports a community sense of cohesion.	community, social and civic life
Totally agree with you. Congrats on getting involved. Can you tell me about the charity event you went to? 	community, social and civic life
It was this organization that sought to combat food scarcity.... It asked for language tutors to come, rent a united space and pay a pass fee—for which amounted to safe home access opportunities among low-income foreignersppl	community, social and civic life
--------------------	--------------------
Hi there! How was your day? 	none
Not bad, thanks. I went to a local charity event in town. 	community, social and civic life
That sounds great! When did it take place? 	community, social and civic life
It was this afternoon, in the community center hall. There were some speeches by the organizers and some local government representatives before the event kick-off. 	community, social and civic life
Wow! Why do you decide to go there? 	community, social and civic life
Oh, well, a friend of mine running a chairty organization in town invited me to join them to help in the fund-collection event. She raised fund to help kids who appreciate science education and give kids from families of disadvantaged background engineering equipment, remote controlled machines and expose transport themselves up-with a health outdoors	community, social and civic life
--------------------	--------------------
Have you been up to anything interesting lately?	none
Oh yes, I have been attending some of the local charities that have been taking place lately.	community, social and civic life
That's great! Which charity do you attend and how often do they host one?	community, social and civic life
Well, I try to attend most of them. By try I mean I prioritize these events, since there are a lot of factors at my old age that can inhibit my going around.``Luckily, Age-friendly initiatives offer me the opportunity of lift and transport services .``	community, social and civic life, mobility
That's amazing! Did they had a recent one and how was it like?	community, social and civic life
The most recent one was for earthquake survival strategy coordination in our old-age home and in shelter - It was	community, social and civic life
--------------------	--------------------
What does your usual day look like, these days?	major life areas
Well, about twice a week I head over to the bakery for breakfast, and say howdy to some friends of mine.	interpersonal interactions and relationships
Sounds lovely. Who are these friends that you meet up with?	interpersonal interactions and relationships
Well there's Linda from the flower shop and a fellow named Harry who used to work odd Jobs near my place.	interpersonal interactions and relationships
What specific activities or interests do the three of you have in dealing with a local activity or organization?	community, social and civic life
We all pitch inactive local board membering body, oversee parks, attend gathering honoring service men and women, track holiday meal prepared for Seniors task allocation data & things of that County sort depending on mood!	community, social and civic life
What would	none
--------------------	--------------------
How did you spend your day today? 	major life areas
Oh, it has been quite spooktacular. 	none
Spooktacular? How come?	none
I should have told you it's Samhain today! 	major life areas
Really? Do you have any activity or ceremony to celebrate Samhain? 	community, social and civic life
Thanks for asking, obviously as Church goers we abstain from evil things and the unreality of places.	major life areas
That's it? Seems a little low-key for Samhain. 	none
I went and volunteered at a stall talk for Abbey Hospital in honor at gym and it's similarly helpful to attending service clubs aren't fully transformed to maximum productive charity launch yet.	community, social and civic life
Good on	none
--------------------	--------------------
How've you been, it's nice to see you.	interpersonal interactions and relationships
I'm doing well, I keep busy these days.	major life areas
Do you engage in any community events or organizations?	community, social and civic life
Yes, I volunteer at the community garden every Wednesday morning.	community, social and civic life
That's great! When did you start doing that?	community, social and civic life
I've been participating for about six months, and I started attending because one day I decided to ask how I can help the community.	community, social and civic life
That's wonderful. How was your experience before you have joined in?	major life areas
Life was dull, you know. I started realizing I was out of touch with the Life. 	major life areas
Do your duties intersect with others in the time meaning? 	none
Yeah	none
--------------------	--------------------
Hi there. how've you been?	interpersonal interactions and relationships
I'm doing all right for an old lady, thanks for asking!	self-care
That's great to hear. It crossed my mind that I haven't caught up with you on what you've been up to.	interpersonal interactions and relationships
Oh, nothing too much. Just the usual stuff.	none
What do you mean by the usual stuff?	none
I sit on the open area green beside the house nearby once every week for some meeting of a senior group including actvities-almed teams locally operateed by elder communities including “senior experience exchange between neighborhood with shared intrests”.	community, social and civic life
That sounds nice! do y'all just chat with others and discuss onwell-being matters	interpersonal interactions and relationships
--------------------	--------------------
Have you been engaged in any charity recently?	community, social and civic life
Oh, yes. I volunteer for my local food bank once a week. 	community, social and civic life
That's really good. When do you volunteer and what kind of tasks do you usually do? 	community, social and civic life
I usually volunteer on Thursdays mornings. My tasks mostly involve sorting and stacking food items. 	community, social and civic life
That’s very helpful. Do you participate in other social organizations?	community, social and civic life
Oh yes, I joined a chess club just a month ago and have formed really good friends. It's held at the community center near the park. 	community, social and civic life
That's cool. What kind of tournaments do you play?	community, social and civic life
We hold chess competition according to Elo numbering system and sometimes participate other beginners	community, social and civic life
--------------------	--------------------
Hi, you’ve been looking well today! What have you been up to this week?	interpersonal interactions and relationships
Hi there. This week I volunteered at the local animal shelter, helped walk the dogs and socialized with the cats.	community, social and civic life
That sounds like a wonderful and fulfilling time. How often do you work with the shelter?	interpersonal interactions and relationships
Oh, about twice a month, it’s important for me to keep busy and active.	community, social and civic life
Along the vein of helping animals, do you have any tips on how I could start recycling products properly?	community, social and civic life
Absolutely, there’s curbside bins that are just a phone call away, and daily get composted, along with several big bins around the Social center to help dispose of old batteries, household	community, social and civic life
--------------------	--------------------
What have you been up to lately?	none
Well, I've been attending a few community events.	community, social and civic life
Really? When and where did those events take place?	none
Last week, I went to the local farmer's market to buy some fresh produce.	community, social and civic life
That sounds nice! Do you usually attend the farmer's market?	none
Yes, I try to go every week. They always have good prices and interesting vendors.	community, social and civic life
What other community events do you like to attend?	community, social and civic life
I recently went to a digital literacy workshop at the public library.	learning and applying knowledge
Sounds interesting, What did they discuss in the workshop?	none
We learned about how to stay safe online and how to more effectively reach people on social media	learning and applying knowledge
--------------------	--------------------
Good morning, how are you feeling today?	communication
Good morning, my dear. I'm feeling okay today. 	communication
That's nice to hear. It's cold outside, how have you been keeping busy these days?	none
Oh, I've been volunteering at the park downtown. I go there twice a week to help tidy it up.	community, social and civic life
That sounds wonderful. How long have you been doing that for?	community, social and civic life
For almost six months now. I started in the spring when they had a cleanup day and decided I wanted to continue to help after. 	community, social and civic life
That's amazing! It's wonderful that you've found a way to contribute to the community.	community, social and civic life
Yes, and I also go to the weekly	none
--------------------	--------------------
