utterances	labels
How was your day today?	none
Oh it's been an interesting day. Early this morning I went to the grocery store.	major life areas, community, social and civic life
What happened at the store?	none
I couldn't find any free shopping carts, so I asked a woman who just returned one where I could find one.	communication, mobility
Did she help?	communication
Yes, she told me that each slot has different storage, so try checking. Then she offered to take my coupons.	communication, domestic life areas
It's good to meet helpful people at the store! What else did you do?	interpersonal interactions and relationships
After lunch, I visited the hobby I’m part of and talked with potential new members. We politely conversed about the different creatures in my collection pointed-to and relieved them whatever	major life areas, community, social and civic life
--------------------	--------------------
So how has your week been?	none
Overall it's been good, but I had kind of an awkward encounter this afternoon actually.	major life areas
Awkward encounter? What happened, tell me more about it?	major life areas
Well, I was in line at the grocery store, and I wasn't paying much attention and accidentally cut in line ahead of someone who then called me out on it in front of everyone.	domestic life areas
That does sound a little embarrassing. Did you apologize and quickly move to the back of the line?	interpersonal interactions and relationships
yes, Yes, definitely. I was surprised that I cut line and made a mistake, Never meant to do it, but the guy acted very angry.	interpersonal interactions and relationships
Oof, did that make things better	interpersonal interactions and relationships
--------------------	--------------------
Hey, how are you feeling today?	communication
I'm bored, to be honest.	none
Oh, I'm sorry to hear that. Maybe you could tell me about something you've done today?	communication
I had a chat with one of my neighbors earlier.	interpersonal interactions and relationships
That sounds nice. How did it go?	communication
It was alright. We mostly talked about how their vegetable garden is coming along.	interpersonal interactions and relationships
That sounds like a pleasant conversation. Did you initiate it?	communication
Yes. I was outside checking the mail, and they were out in their garden at the same time.	interpersonal interactions and relationships
Great. Did you learn anything interesting?	learning and applying knowledge
They offered me some fresh cucumbers that they just picked. Can't wait	domestic life areas
--------------------	--------------------
Good morning! How are you doing today?	communication
Hello! I'm doing okay. It’s been an interesting few days.	communication
Really, why is that? 	communication
I started talking to a neighbour for the first time. I saw the neighbour outside and started a conversation!	interpersonal interactions and relationships
When did you start talking and what did you talk about?	communication
 P: It happened yesterday, I just greeted them in the morning and started to ask some questions about their vegetable garden. It turns out we had some things in common!	communication
Wow, that's so nice to have a pleasant conversation with a neighbour. How did you feel after talking to them? 	interpersonal interactions and relationships
I felt pretty good; excieted to	none
--------------------	--------------------
What did you do yesterday?	none
Yesterday, I went for a walk in the neighborhood park.	mobility
Did you talk with anyone at the park?	communication
Yes, while I was walking in the garden, I met a few people and said hi to them.	communication
Oh, what type of people were they?	none
They were just random people, maybe other people living nearby walking in the garden.	none
That's good, did you have a conversation with anybody in particular?	communication
Yes actually, I talked to this lady with her dog that I see few times a week and we exchanged pleasantries.	communication
It's good to hear that you spoke to her. What did you say to her?	communication
--------------------	--------------------
So how has your day been?	communication
Well, it has been pretty good. Except for this one experience.	none
Oh no, what happened?	communication
I went to the grocery store and wanted to ask the employee where to find some honey, but I guess I didn't speak loudly enough because they didn't seem to hear me.	communication
Did you try asking someone else for help?	communication
Yes, another person tried to help me, luckily.	communication
Where else have you had similar interactions?	none
At church. Sometimes I can't quite understand what the priest is saying during his sermon.	communication
Have you tried sitting closer or asking someone after the church service for clarification	communication
--------------------	--------------------
So, do you do any activities during the day that involve socializing with others like reading a newspaper or attending an event?	communication
Yes, I usually read newspaper which I leave outside in the lobby, and a couple of residents divert from their trail to mourn and have a daily chitchat topic with 'happy'. Moreover, other hospice groups send holy bead-wearing attendants, unique veternians with carts, program groups zebra carts, mental hospitalized era dancers seated which shake bells.	interpersonal interactions and relationships, community, social and civic life
That sounds really nice. Do you ever watch TV or movies with any of your friends from here ?	communication
I occasionally stay seated outside multiple rooms including mutual friend's Jessie who itself next watches morning TV series except some remote squeezing	communication
--------------------	--------------------
What have you been up to lately? 	none
 P: I went to the park today.	community, social and civic life
 F: That sounds nice. 	none
 P: Yeah, I run into my ex-girlfriend there.	interpersonal interactions and relationships
 F: Oh, how did that go?	interpersonal interactions and relationships
 P: It was a little uncomfortable. 	interpersonal interactions and relationships
 F: Did you guys talk?	interpersonal interactions and relationships
 P: She said hi, but that was about it.	interpersonal interactions and relationships
 F: Can I ask what happened?	interpersonal interactions and relationships
 P: We broke up about a year ago.	interpersonal interactions and relationships
 F: I’m sorry to hear that.	interpersonal interactions and relationships
 P: The relationship was just not working out.	interpersonal interactions and relationships
 F: Have you been dating anyone else since?	interpersonal interactions and relationships
 P: Not really, just going out with some friends.	community, social and civic life
--------------------	--------------------
Hi, any interesting stories you have from the past few days?	communication
Yes, actually something quite embarrassing happened to me at the grocery store the other day.	none
Really? What happened?	communication
Well, I was having trouble finding a certain product so I asked one of the employees for help. I couldn't hear her very well from behind our masks...	communication
Ah, I've had that trouble before!	communication
Anyway, I had quite a hard time understanding her so I said ‘what？’ multiple times before it clicked to me that I might just botch her messages, of which when I realized that she was someone for whom English was a second-language… and my hearing certainly isn't as good as it used	communication
