utterances	labels
How did you sleep last night?	self-care
Not too bad. Can't lay on my side, so it's either on my back or on my stomach.	self-care
I see. How do you usually get out of bed in the morning?	self-care
Well, I usually need some assistance 	self-care
F. Okay, what kind of assistance do you need?	self-care
I have this bar next to my bed, so I can pull myself up into a sitting  position. Then I usually sit on the edge of the bed for a moment.	self-care
That sounds quite comfortable. What types of activities do you find difficult to do at your current mobility level?	mobility
Unfortunately, when I'm outside I can’t really climb up	mobility
--------------------	--------------------
Hi there! How has your day been so far?	none
Oh, it has been quite challenging for me.	major life areas
I'm sorry to hear that. Can you tell me more about it?	none
Well, because of my age, I have trouble with doing a few things - in particular, yesterday I needed to clean the basement, which required getting up from a chair multiple time due to many stuff being there. 	domestic life areas
Does that usually difficulty two you experience getting up, standing? Could you explain how that difficult?	mobility
Yes usually running running unbalances me. Every towards minute, if I haven't giving myself time regular muscle charges becoming chance offers me pain, Furthermore I start to tent to broader so generally feel	none
--------------------	--------------------
How has your day been? 	none
It's been okay, I guess. 	none
Did you have any difficulty getting out of bed this morning? 	self-care
No, I usually get up pretty easily. Sometimes my knees hurt a bit when I stand up though. 	self-care
How about using the bathroom? Any issues getting up from the toilet or getting on and off? 	self-care
Actually, it can be hard to get up from the toilet. It's lower than I'm used to and everything feels stiff. It's easier to use the rails on the sink or walls to pull myself up. 	self-care, mobility
What about getting dressed? Any difficulty there? 	self-care
Putting on pants is the hardest part. Sometimes	self-care
--------------------	--------------------
Hey, how are you doing today?	communication
I'm hanging in there. Just been struggling with mobility recently.	mobility
Oh no, what seems to be happening?	communication
Well, I've been having trouble getting in and out of my car.	mobility
Is it mostly when you're getting in, or getting out?	communication
It's typically when I'm trying to get out of the car, especially when parked in a lot uphill or downhill. 	mobility
That sounds tough. Has this been a recent issue, or have you been experiencing it for a while?	communication
The issue kinda came and went over the years but got gradually hindersome recently. 	mobility
Have you found anything that helps cope? 	none
--------------------	--------------------
Hey, how's your day been so far?	interpersonal interactions and relationships
Just a regular day for me.	major life areas
F. That sounds good! Can you tell me a bit about how you move around your house throughout the day?	communication
Sure. I usually start by getting out of bed in the morning, which takes some effort, but I manage.	mobility
Do you ever feel unsteady getting up from bed?	mobility
Sometimes, yeah. That's why I like to use my walker to keep me stable.	mobility
Ah that makes sense. How do you usually get around the house from there?	mobility
Well, I typically use the walker to move around inside. When I get to the kitchen, I usually sit on a chair while I make	domestic life areas
--------------------	--------------------
Hi, how has your day been?	communication
Oh, just same as usual. Struggling with my mobility!	mobility
Oh, I'm sorry to hear that. Can you tell me more about what has been giving you trouble with your mobility?	communication
Yes, getting up from the chair or sofa has become quite difficult now. It usually takes me a few tries before I can get up. The left knee is causing me problems.	mobility
I understand. How often do you feel pain when getting up?	mobility
Mosty whenever I try to initiate this context. It mostly happens like in the evening, not quite a few times during sunset drive walk when moving might cause myself trouble.	mobility
So, which steps, if	none
--------------------	--------------------
How has your day been going so far, did you experience any difficulties with mobility events?	mobility
Yes, actually, it happened when I was washing my dishes in the sink just after breakfast. 	domestic life areas
I'm sorry to hear that. Can you tell me more about the kind of problem?,	none
