utterances	labels
How are you feeling today?	communication
I am a bit tired.	self-care
Did you get enough sleep last night?	communication
No. It was hard to sleep.	self-care
That might be why you are feeling tired. Did you change your clothes this morning?	self-care
Yes, I did. It took me almost half an hour to put them on.	self-care
That can be a challenging part of each day. Did you follow the same steps as always?	self-care
Yes, but my fingers hurt, and I could not get my buttons fastened.	self-care
Maybe next time, you could ask someone to help lower or raise the table, which could allow you to minimize bending over near as much?	self-care
That could be an	none
--------------------	--------------------
How are you feeling today?	communication
I'm okay, been keeping myself busy	none
That's great, is it difficult getting dressed or putting clothes on?	self-care
Actually yes, every time I feel dizzy. But taking my time to finish dressing normally helps stabilize my body.	self-care
And when is the last time you experienced that unstable feeling?	none
Today while I was to tied my shoelaces	self-care
Oh I see. Can you usually tell when it's going to happen?	none
Often, but sometimes it feels sudden. And it's always random.	none
I'm sorry to hear that. Can you tell me about another challenge you may have experienced	none
--------------------	--------------------
Do you do any self-care events, like getting dressed in the morning?	self-care
Yes, getting dressed is my responsibility but sometimes I get worried about lifting my arms to put on clothes.	self-care (with subcategory of mobility)
That makes sense. And do you bathe yourself in the morning?	self-care
Yes, but recently, I've needed help getting in and out of the tub because I'm worried about falling. 	self-care (with subcategory of mobility)
Hmm, maybe you could use a bath chair or shower seat to reduce the risk of falling if you're worried about that?	self-care (with subcategory of mobility)
Good idea. I'll discuss it with my caregiver.	self-care (with subcategory of communication)
What about taking off clothes? Is that something you can do independently?	self-care
Typically, not always. Sometimes I get frustrated struggling	self-care
--------------------	--------------------
How has your day been so far?	none
Pretty good, but these days I feel so tired with normal activities. 	general tasks and demands
Have you been okay while getting ready in the morning?	self-care
No dear, that's the definite opposite. Lately, putting on clothings is taking lot of time, and it almost runs out my energy.	self-care
What part of getting dressed is so challenging for you?	self-care
Oh it starts right from bending over to socks those can be and tightening bra clips difficult daily routines back hurts grabbing stuff are burdensome cough punctiliar during morning and family depends on most healthcare specialist. 	self-care
Hmm, I'm sorry to hear that. How many times a day do you need assistance?	self-care
--------------------	--------------------
Do you have any difficulties with putting on and taking off your clothes?	self-care
Well, I couldn't put them on by myself these days as my flexibility declined lately.	self-care
I see. What kind of clothings cause difficulty? 	self-care
Putting my pants on alone has become challenging, especially those that close over my abdomen because they require remaining upright for extended periods while doing two nonlinear motions altogether as tightly. 	self-care
Maybe wearing pants with elastic waistbands, elastic cylinders, or designed pockets other closings than zippers might work better.?	self-care
That sounds right. Though following recommending physican issued plan including exercise promoting physical endurance  build core strength so l may self-care oftentimes, maintaining a tally of constant	none
