utterances	labels
How was your day today, anything interesting?	communication
Just normal, but it was very tiring. I had to go up and down flights of stair multiple times.	mobility
Oh wow, that sounds like a workout.	communication
Yes, I also do stretching exercises and chest-ups several times a day.	learning and applying knowledge
That's good. How about your walking? How has that been going lately?	communication
It's been difficult to go for walks because I have been experiencing severe pain in my knees lately. 	mobility
That doesn't sound good. Is there anything you do that eases the discomfort?	communication
Yes, I've been using a lightweight walker when I go for any small movements around the house, but the doctor adv	mobility
--------------------	--------------------
Have you been doing any physical activities lately, like walking or running, that have caused difficulties for you?	mobility
Actually, yes. I have fallen a couple of times recently when trying to go down the stairs from my porch.	mobility
Oh no, when does this happen?	none
Usually in the early mornings when I go to get the paper that is thown on my groudn by the road.	mobility
Have you tried different techniques or aids to make sure you don't fall next time?	mobility
I have taken slower steps and tried holding on to the rail, but I didn't like to stress it too much. That's still kind of unstable for me.	mobility
Have steps liime outside in which they generate levels	none
--------------------	--------------------
Can you tell me about any challenging mobility events that you experience during your daily activities?	mobility
Well, getting up from a chair can be quite difficult for me sometimes.	mobility
That sounds frustrating. Can you tell me more about it? When does it usually happen and how do you manage to bear with it?	none
It happens mostly when I've been sitting for a while, and especially after meals because my stomach feels more full and heavier. I have to force myself to push up from the seat using all of my force on my legs and upper body to stand upright. 	mobility
I can understand how exasperating it must feel. Do you notice any improvement or maybe bad experiences for your other mobility usiness at other times	mobility
--------------------	--------------------
Do you engage in any physical activities every day?	none
Yes, I try to do some light morning exercises.	general tasks and demands
Is there anything that challenges you in terms of mobility?	none
Going up and down the stairs usually makes me quite dizzy.	mobility
How often do you feel dizzy during stai use?	none
It happens every time I climb more than three stairs. F: Perhaps you should try using the handrail or opt for a gentle slope or otherwise segmented stair surface when climbing stairs going forwards?	learning and applying knowledge
I use the handrail. Down stairs are worse but slope and segmented stair surface only complicate climbing normally-designed stepsselasr equipment use even more.	mobility
That seems to be inconvenient. What other mobility events	none
--------------------	--------------------
How have you been lately, how are you coping live?	none
Oh, just alright, dear. Though, my joints usually make it hard for me to perform simple steps like walking and even climbing upstairs.	mobility, self-care
Does it hurt when you try doing these activities?	none
Yes, it sure does and that's why I refrain from moving sometimes.	mobility
Do you face difficulties because of restricted functioning?	none
Yes, it causes trouble not to be able to do something you had used to be doing on your own on any grass root-leavel basis.	major life areas
Could you elaborate more on any particular moblità events where engaging in physical hardwork or needing someone's tender-service challenge you somè'hawdiff 'calli	mobility, interpersonal interactions and relationships
--------------------	--------------------
Hey! how have you been these days, I missed you. 	interpersonal interactions and relationships
Hi, I've been okay. Had some trouble in walking.	mobility
Wait, What trouble are you taking about?	communication
Sometimes I feel a little dizzy when I'm going up down stairs.	mobility
Hmm, when does this usually occur?	communication
Whenever I go for walk in the evening or when I finish vaccuming the apartment, at midday.	mobility
Maybe it just needs a little exercise, Have you tried any yoga recently?	learning and applying knowledge
Not yet. But sometimes Walking surely exhausts me; am Almost tottering Doing Bike Riding or stepping over Pine-Beauty Cabin house restaurant stairs ; including floor exercises.	mobility
It's	none
--------------------	--------------------
How's your day going, How have you been holding up lately, P? 	communication
I have my ups and downs but overall I am managing okay. 	general tasks and demands
That's great to hear! I was curious on on your mobility these days—are the any ways you might feel stuck or have trouble getting around with more physical activities? 	mobility
Actually, walking around each day has actually been tolerable for limits—Carpeting that's covering under furniture is becoming risky because sliding hush the cerebler remains tired 	mobility
I see. What does an average day's walking entail for you right now? Could you elaborate on regular or inherent obstacles involved perhaps? 	mobility
Well, I wake up each morning and get	self-care
--------------------	--------------------
How are you feeling today, any improvements in mobility?	mobility
I think I’m still moving slow.	mobility
Do you encounter difficulty when walking?	mobility
Yes, when I climb the stairs it takes a longer time to reach.	mobility
Where there any other events that caused difficulty?	mobility
Prolonged walking hurts my knees nowadays.	mobility
I see. What measures have you taken so far?	mobility
I use my walker now different to how active coming down the stairs is tough without tiring out quickly.	mobility
How about backyard activities like working out there? Have you resumed such exercises.	none
No, bear down easier of trembling up pushing law contracts at bags a for out going outdoor never talks gardening always keeps	none
--------------------	--------------------
Can you tell me a little bit about your daily life and the movements or activities that you do on a regular basis?	none
Oh sure, I walk to the kitchen in the morning to make myself breakfast. It takes me about 5 minutes but there are a few stairs on the way that I have to go up and down to get there.	mobility, self-care, domestic life areas
That's great. And do you do any other movements during the day?	none
Yes, later in the morning, I usually like to take a quick walk around the neighborhood to break up my day a bit. I go up and down some hills nearby, but it's usually pretty manageable.	mobility, community, social and civic life
Sounds good. I know you had a doctor's appointment earlier this week,	none
--------------------	--------------------
How has your day been so far, do you feel OK?	communication
Yes, everything's okay I guess, but my body feels a bit tired lately	self-care
When you say that you feel tired lately, do you feel that way particularly early after waking up?	communication
No, it usually happens whenever I take long walks or when I climb up to my gate.	mobility
Do you find it challenging then applying that bit too much physical efforts, specially considering your current response sensations?	general tasks and demands
Unfortunately yes, after lifting my feet too much, my body feels totally exhausted by the time I make it all the way along and I feel unwell even while the climb five steps through those usual steep stair in my place hurting large motor	mobility
--------------------	--------------------
What do you do every morning after waking up?	none
I sit on the bed for a moment and then I slowly stand up.	mobility, self-care
How about next? What do you usually do then?	none
I walk slowly to the bathroom to brush teeth and wash face.	mobility, self-care
Do you need support from any assistance when walking?	none
Yes, I use my cane to keep my balance.	mobility
I see. How about stairs? Do you need to climb them in your house?	mobility
Yes, but with much effort. I go up holding tightly handrails, stamp supported by cane. 	mobility
That sounds a bit difficult to carry on Have you tried methods to upstairs device to be safer?	none
Agree with	none
--------------------	--------------------
How has your daily life been lately?	major life areas
Well it's been challenging for me to move around especially going up the stairs.	mobility
Oh really, when exactly the event occurs? 	none
Every time I am about to go to bed, as my master Suites are on the second flat so are set of stairs exposed not bricked Mortele stairs. Whenever I feel exhausted It's difficult for me to surf through the stairs carefully.	mobility
That's difficult to hear, how exactly do you approach going up the stairs?	none
Saddled something skinny rods chitin to walls which form grips to support-clutch walking with border tip-can still datego it's adjustment I have had daily drills years for this simple moments of motion generates	mobility
--------------------	--------------------
How was your day today?	communication
It was mostly good. I did mini-somersaults while trying to reach for cereal this morning.	learning and applying knowledge, mobility
Oh no, were you hurt?	communication
Ha! Oh, never mind, I have a soft carpet underneath, and it's usual for me every time I have the walk humor.	general tasks and demands, mobility
That's awesome! Do you get enough physical activity of this kind?	communication
Yes, I do that around an hour and sometimes a half every day. Jumping off chairs upstairs is entertaining as long as take to gradual evolution closely.	learning and applying knowledge, mobility
Excellent point! Mind if I ask, how difficult is going downstairs for you now?	communication, mobility
Sometimes, I tense up a bit adjusting balance	mobility
--------------------	--------------------
How have you been doing lately? 	none
I’ve been managing well and doing things step by step.	general tasks and demands
That’s great! How about your mobility? Have you been active in that component lately ?	mobility
It’s been okay. But at times I find it challenging or nearly impossible.	mobility
What particular movement or ongoing happening has been noticeable?	none
I think stand to sit this gives me difficulty nowadays. Transportations are not done with ease unfortunately.	mobility
When do you face these issues?	none
Mostly when - getting ready for bed and, otherwise or ,lying in bed in position switching results unpredicatble because of pressure n uh,,, situ.	mobility
What caused difficulty getting to bed,in	none
--------------------	--------------------
How's your day going, Roberta?	communication
It's been alright, dear.	communication
Did you get any mobility events happening today?	none
Yes, I walked my dog this morning.	mobility
Really? How was your walking?	communication
It was a little challenging to walk down that curvy path on the hill but I managed to make it without assist.	mobility
You're doing a great job in maintaining mobility.You mentioned utilising alot of assistive devices. Have have you wholeheartedly start walking without any appliance again ?	mobility
Truthfully,no paralyulating answers formulated.I LOVE TRANCEFUMALLY settling fractures or joints poses and applications; became latent knowledge shared amongst kiddings and neighbouring nurses.	learning and applying knowledge
Oh	communication
--------------------	--------------------
How are you doing, have you been active lately?	communication
Not much, I cannot get around as well now 	mobility
You seem next to capable to still move around, do you have any issues with mobility?	communication
I certainly do, I struggle with walking a flight of stairs.	mobility
Aint pleasant. Have you had these issues even indoors st home or most involve outdoors sometimes? 	communication
Indeed never up or gather rooms but steps are convenient for what ought to be straightforward occasions that feel scaring instead.	communication
that definitely sound inconvenient Have experienced difficulties sometimes needing jumps or scampers? 	communication
Times come and gone  uncertainties render them rare time times escalated it challenging moving limitations surfrl at spot clinic	none
--------------------	--------------------
Hi there, how are you feeling today? 	communication
Oh, not too bad. How are you doing today? 	communication
I'm good thanks. So I heard arthritis sometimes can make mobility difficult? 	learning and applying knowledge
It sure can. I have Osteoarthritis which makes it really painful for me to walk long distances. 	mobility
I'm sorry to hear that. Is there any time of day when it's better for you to walk? 	communication
Yes. I find it easiest to walk in the morning when the temperature is cooler and my meds have kicked in. 	mobility
That makes sense. How about using stairs, can you manage them okay? 	mobility
Not really. Going down stairs is	mobility
--------------------	--------------------
How have you been lately, are you keeping well and active?	none
Not as active as I used to be., my mobility event has been declining lately as from time to time I experience difficulties in simply standing from a sitting position!	mobility
I see. Since when has this discomfort been happening, precisely?	none
