utterances	labels
How was your day today?	none
Oh, it was quite eventful!	none
What did you do today?	none
Well, this afternoon some of my fellow veterans and I got together and attended a local celebration.	community, social and civic life
That sounds great! What kind of celebration was it?	none
It was a celebration honoring our armed forces and freedom.	community, social and civic life
When and where did the celebration take place?	community, social and civic life
It was in the park down the street that pays tribute to military veterans and families. It started in the morning and lasted most of the day.	community, social and civic life
Did you do anything else special there?	none
Yes, we had a beautiful music concert and of course delicious refreshers sponsored by one of biggest humanitarian agency. We	community, social and civic life
--------------------	--------------------
So how did you spend your day today, anything interesting?	none
Actually I enjoyed a social event at the local community center.	community, social and civic life
Oh, that's nice to hear! What kind of event was it?	none
It was a fundraising event for the local school programs.	community, social and civic life
That sounds like a great cause. When did it take place?	none
It was held this afternoon, from 2 pm until 5 pm.	community, social and civic life
And how was the turnout?	none
It was beyond our expectations. There were many people who showed up to contribute towards the school, about 100 people maybe.	community, social and civic life
Wow, it sounds like there are a lot of good people in our community. Where was the Community Center located?	community, social and civic life
--------------------	--------------------
What have you been up to these days?	none
Oh, not much, just went to a community festival last weekend. 	community, social and civic life
That sounds fun! Is it an annual festival?	community, social and civic life
Yes, it is held every year in our neighborhood park. 	community, social and civic life
How long have you been attending this festival? 	community, social and civic life
Ever since we moved here, which was 10 years ago. 	community, social and civic life
Wow, so you must have seen how it has grown over the years. What kind of activities did they have this year? 	community, social and civic life
Well, they had live music, food trucks, arts and crafts booths, and even a petting zoo for kids. 	community, social and civic life
That's awesome! Did you run into any of	none
--------------------	--------------------
Hello, I hope you're doing well.	communication
Yes, not bad, and you?	communication
Fine, thanks. I wanted to know if there's anything interesting that's happened recently.	communication
Well, a few days ago, I went out to enjoy a book fair downtown.	community, social and civic life
Really? How was it? Did you find anything particularly interesting or meaningful there?	community, social and civic life
The festival was nice, there were many reasonably priced stands with fresh plants, vegetables as well gardening books. I stepped in the fair after cleaning my mower parts rusty leg bench for that backyard touch.	domestic life areas
Ah, did buy anything? Did attend any interesting sessions? 	community, social and civic life
Department speaker Marcia Mast constructed the water and WASTEkitness short	none
--------------------	--------------------
How was your day today?	none
Oh it was a busy one today. I had an appointment at the senior center to attend a talk on health issues.	community, social and civic life (participation in attending a talk at the senior center)
That sounds interesting. What kind of health issues did they talk about?	learning and applying knowledge (inquiring about the health issues discussed)
It was mainly about senior-specific exercise. They also talked about the senior-oriented classes held at the center.	learning and applying knowledge (describing the topics discussed at the talk)
When are the classes and how often do they happen?	learning and applying knowledge (inquiring about the schedule and frequency of the classes)
Classes are held every Thursday morning from 7 to 8 AM, and once in a while during afternoon too. 	learning and applying knowledge (providing information about the schedule and frequency of the classes)
That does sound pretty early for a class. Are seniors showing up to the classes?	interpersonal interactions and relationships (expressing concern about the early class time)
Yes dear! Seniors comprise majority of the	community, social and civic life (confirming the participation of seniors in the classes)
--------------------	--------------------
How was your day today? Did you go out anywhere?	communication
Oh, hello. I normally do not go out much, but I did have a chore today.	domestic life areas
What was it?	communication
P. Well, I had to go and fetch my prescription from the elderly center.	mobility
How was the center? What's over there?	communication
The elderly center is a great facility. They have a wonderful health program running. We are taught new postures to keep the elements at bay. 	learning and applying knowledge
That sounds like fun. Do you always go to these events?	interpersonal interactions and relationships
Yes, smaller things all the time. Keep me though cause during the long stretch. 	general tasks and demands
That is reasonablethoughful. Keep portion smooth	none
--------------------	--------------------
Hi, how have you been doing lately?	communication
Hi there, I've been trying to be active as possible.	general tasks and demands
Oh, that's really impressing. Can you give me what social or civic activity have you reveled recently?	communication
I participated on an elderly community annual event last week. It was wonderful and I enjoyed meeting many people.	community, social and civic life
That sounds great! What benefits did participants have from joining that kind of events?	communication
For me, joining that kind of coordinated events connects me to community seniors perspective on social welfare services which teaches me benefitability of team participation in management of societal downspects.Expcially amidst Covid-19 times.	learning and applying knowledge
They Way the whole setup organize, that sense community willing combine	community, social and civic life
--------------------	--------------------
How have you been feeling lately, Mrs. Johnson?	communication
Not too bad. Yesterday was a bit of a workout day for me.	general tasks and demands
What do you mean by workout day?	communication
Well, I had to leave the house in the morning to visit the shelter downtown.	community, social and civic life
Oh, did you go there often to volunteer?	interpersonal interactions and relationships
Yep. Every Tuesday for the last three months and this week we vaccined pets some that belong to recently homed individuals.	community, social and civic life
That sounds like an excellent contribution. When did it take place?	interpersonal interactions and relationships
The installation was installed last august, the last three mobile units sponsored by the Francophonie Association take their courses relay everyone.	none
--------------------	--------------------
Good afternoon, how are you feeling today?	communication
Good afternoon! Not too bad today, thank you. I have been trying to keep myself busy	communication
Oh that sounds great what types of things have you been doing to keep yourself active?	communication
Mostly reading, reflecting and often left quests that bring community members together by participating in civic activities P starts scratching his beard; amusing enough like newly engaged Wednesdays!-	learning and applying knowledge, community, social and civic life
That's amazing! It’s cathartic. Sometimes the best method to start life anew is through civic involvement. Could you elaborate on your activities if you do not mind?	communication
Mostly town hall meetings that nominate exceptional voluntary aids in sprawling and heavily Nigerian alike towns! You are not everyone sticking	community, social and civic life
--------------------	--------------------
“How have you been doing, lately?” 	interpersonal interactions and relationships
“I've been fine. Trying to stay active involved with things.”	none
“What kind of things are you involved in?”	none
Well, Every November, I help out at our Senior Citizen Expo at the Burgess.”	community, social and civic life
“It sounds like you take an active part in your community. What does helping out involve?”	communication
“I usually spend the day at the seniors' club center-owned rock-climbing center as one or two of whome helped most raised donation.All day long there's flyer fun games and questions by enthusiastic MCs at session. Have not been joined last year's ruined.	none
“That does sounds like great, my	none
--------------------	--------------------
Hi there, how are you today?	communication
I'm not too bad, thanks for asking.	communication
So, been doing anything interesting lately?	none
I went to study the local democratic structures at the neighborhood yesterday.	learning and applying knowledge
That sounds educational! Did you have a nice time there?	communication
Yes, definitely. It was great just learning about legislative elections, public hearings, and sitting watch party lists. It is amazing that every vote makes a big difference in our future.	learning and applying knowledge
That does sound fascinating - when did that happen?	communication
Oh, it was yesterday afternoon around 2 pm.	none
I have to admit that since you've retired I really like seeing how active you are in terms of participation in the community	community, social and civic life
--------------------	--------------------
How has your day been so far?	none
It's been pretty busy. This morning, I attended a volunteer meeting for a political organization.	community, social and civic life (participation in a volunteer meeting for a political organization)
When did the meeting happen?	none
It started around 10 AM and went for about two hours.	none
What kind of organization is it?	community, social and civic life (participation in an advocacy group for seniors)
It's an advocacy group for seniors, focused on healthcare issues.	major life areas (advocacy for senior healthcare)
That's great that you are getting involved in an organization that cares about senior health. Is that a monthly meeting?	interpersonal interactions and relationships (expressing support and interest in the organization)
No, it happens every other week. I actually have to go back this afternoon for a few committee meetings.	community, social and civic life (participation in committee meetings)
What other kind of committee meetings are taking place today?	none
One is focused on fundraising, and the	community, social and civic life (participation in a fundraising committee meeting)
--------------------	--------------------
How was your week? Have you been up to anything exciting lately?	none
Well, I attended an event for our local parks and recreation department last week. It was a lot of fun.	community, social and civic life (participation in event)
That sounds great! What kind of event was it?	none
It was a park cleanup event. I joined a group with other local volunteers to maintain the cleanliness and beauty of our community park.	community, social and civic life (participation in park cleanup)
How often do these events take place?	none
The park cleanup event is held every month, and I try to attend every one of them.	community, social and civic life (participation in park cleanup)
Have you made a lot of friends in your community by attending these events?	interpersonal interactions and relationships (making friends)
Yes, I have. I've met quite a few regular attendees like myself. It's	interpersonal interactions and relationships (making friends)
--------------------	--------------------
Hey, how was your day today?	none
It was alright. I attended a community meeting earlier.	community, social and civic life
Oh, what was it about?	none
The community leaders decided to have a public forum on environmental conservation.	community, social and civic life
That's wonderful! When will that event take place?	none
They scheduled it on October 18. I've already marked my attendance on the form.	community, social and civic life
That sounds perfect! How did you learn about these civic events happening in our community?	community, social and civic life
Well, I usually receive emails and newsletters from the neighborhood community association. In addition, several flyers were posted throughout the front-yard mat in front of each house informing the community events that different organizations keep organized there. 	community, social and civic life
That's a good	none
--------------------	--------------------
How are you today?	communication
I'm doing well, thank you. 	communication
How was your weekend?	communication
It was great! Every Sunday morning I attend church where we gather together as members of the community and share our faith.	interpersonal interactions and relationships, community, social and civic life
That sounds wonderful. Do you go to any other community events during the week?	interpersonal interactions and relationships, community, social and civic life
Actually, on Tuesdays I go to the senior center where we play games and socialize with others. .	interpersonal interactions and relationships, community, social and civic life
That sounds like a peek at civic activities! Do you have time for volunteer?	community, social and civic life
Absolutely. I visit the local soup kitchen twice a month to serve food and we engage in conversations with homeless persons in need.	community, social and civic life
F. How interesting it is to help out our own environment	none
--------------------	--------------------
Hi there, how're you today?	communication
Pretty good, thanks. It's a beautiful day, isn't it? 	communication
Oh for sure it is. Did you hear about any recent community event or anything lately? 	community, social and civic life
Yeah actually, last night, I attended a town hall discussion at the nearby Community Centre. 	community, social and civic life
That sounds interesting, what was the event all about? 	communication
It was a meeting organized by the local residents in the neighborhood. We were brainstorming ideas to improve public areas. It lived up to my expectations, I input ideas contributed positively in my community. 	community, social and civic life
That actually sounds optimistic and meaningful. How you found out about this town hall gathering?	communication
Oh it came	none
--------------------	--------------------
What Do you usually do on Fridays?	major life areas
Fridays, mmm, not much right now actually.	none
Was yevery Friday like this or used to you do something like meet friends or visit some place before the pandemic?	interpersonal interactions and relationships
Unfortunately since the pandemic came over and given that I don't have my mobilty easeirly theres a shelter program from volunteer probably specially around Wednesdays where younger adults if did their community serve volunteer they got the oppportunity towards running books we talk while reading them into universial languages and listening itself so happily gives me effortful days 	community, social and civic life
It's really nice to do work giving access to uiversal languyages. Do you have other options as searching on internet, listening to	communication
--------------------	--------------------
What could keep one as lively and active members of the daily community, social, and an ordinary list of locations one steps their feet, and do to ensure regular events keep on rolling-- weekly maybe?	community, social and civic life
That would vary for individuals.We can look at one of these events, Like joining the church of Christ in town. And Other more varied opportunities Daily direct report volunteer schedules staying very organized too.	community, social and civic life
When does this occur in your week? And do think Others derive benefits beside from yourselves and at the annual sunrise charity walk?	community, social and civic life
The retired seniors starting social dances after dim equipment pre qualified. highly organized weekly social agency events and Each older pos with holidays to visit their loved loves.	community, social and civic life
It seems	none
--------------------	--------------------
How was your day, friend?	interpersonal interactions and relationships
Oh, it wasn't too interesting, just some grocery shopping this morning before heading to Italian language lessons in the community centre. How about yourself?	domestic life areas
Not much, actually. Just visited a used-book-turned-vintage-shop down the street and ended up chatting with some strangers for quite some time about the benefits of supporting local enterprises.	community, social and civic life
I appreciate events like that -- forming small connections with individuals dedicated to improving life for their neighboring community.	community, social and civic life
Exactly. Happened to discreetly eavesdrop on some representatives campaigning for a spot on the upcoming city council as well and became seriously curious how they planned on constituting active participation in governance beyond weekly member meetings.	community, social and civic life
I’m thinking	none
--------------------	--------------------
How are you feeling today?	communication
Oh, hello dear! I feel much better today.	communication
That's great to hear. Anything interesting happening in your week so far?	communication
Well, Frank from down the street stopped by and we talked about how neighborhood has been changing these days!	interpersonal interactions and relationships
Really, that sounds intriguing. When do you usually spend time with Frank?	interpersonal interactions and relationships
Mostly when I go to get my groceries which is every Saturday morning. Frank's also a really responsible volunteer for most of the campaigns going here, that brings-ups an awful lot of chatter though !	community, social and civic life
That makes sense, politics always stirs opinion. Are you personally enjoying these political events?	community, social and civic life
Somewhat. Only once participated but I'm	none
--------------------	--------------------
How are you today, what did you do yesterday?	none
Yesterday, I went to a community meeting.	community, social and civic life
Oh, that sounds interesting, can you tell me more about it?	none
Yes, the meeting was about rising prices in local markets.	community, social and civic life
Did people exchange diversified opinion?	interpersonal interactions and relationships
Yes and I picked up a lot about my neighbors preference　and talking style about political opinions and feelings towards economy policy .	learning and applying knowledge
That sounds interesting.　Have they organizing another such event something soon?	community, social and civic life
　Yes ，actually there a schedule called health seminar often held every 2 months.I do my best to even keep effective life in neighborhood！	community, social and civic life
--------------------	--------------------
How are you doing today?	communication
I'm doing okay, just had a busy day. 	communication
What did you do today?	communication
Well, I participated in my community committee meeting which was held this morning. We talked about objectives for the upcoming year. 	community, social and civic life
How often do you have these meetings? 	communication
We try to meet once a month if possible. 	community, social and civic life
That's great to hear. Do you like participating in these meetings? 	communication
Yes, I think it's important to meet with others and discuss community events and plans to make a difference if possible. 	community, social and civic life
Have you been involved with your community for a long time? 	community, social and civic life
Yes, since I retired I try to	community, social and civic life
--------------------	--------------------
Hi! Everything seems calm today. How was your day, friends?	interpersonal interactions and relationships
Hi! happy to see you around. Well, not so much music-fest crazy out there these days - besides being part holidays -, should stick indoors for something more engaging :D.	interpersonal interactions and relationships
Oh, why don't you experience group events?	none
Sound great probably never attend an arts exhibition, cultural presentation explicitly cultural one's host on Broadway avenue.	community, social and civic life
When those generally take place starting daytime I suppose?	none
Their unveil window falls thinly within a similar stipulated interval on keeping exact momentums but ranges randomly on whether outdoors or from confinement they accommodated of course always subject - matters arising.	none
How do notifications come through for where and	communication
--------------------	--------------------
Hi there, how are you? Can I buy you coffee? 	interpersonal interactions and relationships
Thank you Doctor. A cup of coffee in the morning would be wonderful. 	interpersonal interactions and relationships
You look great. Did you do anything fun or interesting last week? 	interpersonal interactions and relationships
Yes, actually, I went to the community center and took several classes about the internet and how to use computers and email. 	learning and applying knowledge
Oh that's great. When did you do that? 	none
I normally attend the classes on Monday, Wednesday, and Friday afternoons. 	learning and applying knowledge
Does anyone assist you with these classes or do you attend them by yourself?	interpersonal interactions and relationships
There is a volunteer who always helps me. She is very patient and explains every step over and	learning and applying knowledge
--------------------	--------------------
How have you been spending your days lately?	major life areas
Well, last week I attended a community meeting.	community, social and civic life
Oh, that's great! What was the meeting about?	community, social and civic life
It was about the neighborhood problems, like streets need repairing.	community, social and civic life
Sounds like an important issue. How did you feel speaking about it there:	interpersonal interactions and relationships
Yes, it's very muggy when the streets would need the passenger knee-reserve from M.	none
Will there be any development plans after the meeting?	community, social and civic life
Maybe. Two council members ascribed leading others involved.	community, social and civic life
--------------------	--------------------
