utterances	labels
Hi, it's great to see you today. How are you doing?	interpersonal interactions and relationships
Hi. I'm doing okay.	interpersonal interactions and relationships
You mentioned last time that you have difficulty with your mobility. Can you tell me more about that?	mobility
Yes, it's been challenging. I find it hard to lift heavy things.	mobility
When do you experience these difficulties with lifting?	mobility
It happens mainly in the morning when I try to carry groceries from the shop.	mobility
Is there anything specific that led to these challenges?	none
Maybe it's because I'm getting old because it was never this hard trying to carry morning groceries.	none
Would you say that abdominal lifts are just as difficult?' 	mobility
No, abdominal lifts have	none
--------------------	--------------------
Hi there, how's your day going?	communication
Not too bad, a little tired from the morning activities.	general tasks and demands
What sort of activities did you do this morning?	communication
Well, I woke up and got dressed by walking to the closet for my clothes. I then made breakfast, which involved reaching for a bowl and pouring cereal. I also have to prop up a chair against the wall to give me a place to rest among other things.	self-care, domestic life areas, mobility
That sounds like quite a few different tasks that require mobility. Is there any particular one that you find more challenging than the others?	general tasks and demands
 P: Well, sometimes carrying groceries can be difficult even when it's not that far of a walk.	mobility
I can see how that	communication
--------------------	--------------------
How have you been doing lately?	interpersonal interactions and relationships
I have difficulty with some of these everyday things. 	general tasks and demands
What kind of activities?curious gesture	none
Well, actually when I lift something moderately heavy either up or via bringing it near to me easilytightly—-that’s difficult: such steps could instigate pain and obstructation around shoulder bones..	mobility
When would your problem begin to appear? When lifting something really heavy above your comehand-length? or nearing the distant-end towards you remain difficultor something different?	communication
No, it occur while performing tasks in everyday life:more than hand level-wt item, mostly doing such more frequentlyever small objects produce uncomfortableinstability.	general tasks and demands
--------------------	--------------------
Hi there. How are you today?	communication
I am good, just a little tired.	communication
That sounds reasonable. Can you share a bit about your daily life and how you perform your tasks?	major life areas
Yes, lately carrying grocery has become really difficult for me.	domestic life areas
Oh no, I'm sorry to hear that, when do you normally carry groceries? 	communication
Twice a week. Every Tuesdays and Fridays. 	domestic life areas
I see. And how do you usually carry them?	domestic life areas
I tend to use a paper bag for all my groceries, but this has become more difficult and challenging.	domestic life areas
Have you thought about bringing reusable bags or dividing your groceries into multiple, lighter weight bags? 	domestic life areas
--------------------	--------------------
How are you feeling today?	communication
Oh, not so good. I have been experiencing difficulties in moving my arms.	mobility
I see. When exactly did you start having difficulties with your arm mobility?	mobility
It started last week while I was attempting to move the lightweight curtains in my living space. But then, I good find good support for opening and closing windows equally way that could place my arms furthere away without falling over . 	mobility
That sounds terrible. Has it happened again then?	communication
Yes, few days ago while I was attempting to pick and lift pot when truing on fire having bait steaming. Now lately I started to linger longer with pot on table until it was caoted on. However no one	none
--------------------	--------------------
How are you today?	communication
Oh, not bad. And yourself?	communication
I'm great, thanks for asking. Could you tell me what you did yesterday?	communication
Of course, I woke up early in the morning and got myself out of my bed.	self-care
How do you manage to do that? 	communication
I use the bed rail to pull myself upright then turn my legs to rest them down on the floor.	mobility
Shower or have breakfast yet? 	self-care
Not yet. Usually, I put my pull up the bed because is because more comfy to get onto it after a shower but last day I jdecided onto maOnt be on Upwing over my Pull Ups tightly so that it would stay on	domestic life areas
--------------------	--------------------
Hi, how are you today?	communication
Oh, I’m okay. Thank You.	communication
I remember we talked about mobility earlier i hope it didn’t cause you difficulties, can you walk normally like you used to do before on daily basis?	mobility
No I can’t	mobility
oh no! In what way has your mobility caused difficulties for you? 	mobility
Sometimes even get out of bed lile I used to is painful, also inability lock my stairs so I can't go search for things if it wasn't at hand-level, lastly, waving in the street level can be surprisingly competitive 	mobility
Oh No Resting and allowing enough synthesis in your system is might solve this issue slightly, have you noticed what	none
--------------------	--------------------
Do you do any lifting or carrying in your daily life? 	general tasks and demands
Yes, I have to carry groceries whenever I go grocery shopping. 	domestic life areas
That's understandable, how frequently do you go grocery shopping in a week? 	general tasks and demands
I go two times a week. 	general tasks and demands
I see. During those groceries to reach your place, would you walk carrying or pushing a rolling cart for your purchases? 	mobility
Usually, I carry them until the cart becomes vacant and I put every item there then commence walking by pushing them.	mobility
How often do you find yourself kicking any specific object on a regular basis while, for example, you are standing, waiting around, or during leisure activities like playing ball?	mobility
Actually	none
--------------------	--------------------
Do you feel comfortable with your mobility on a daily basis? 	mobility
Yes and no. Although I can still walk, but I can't do some things by myself anymore. 	mobility
What kind of activities do you find difficult? 	none
Well, lifting any weight is out of the question. And I can no longer kick a ball. 	mobility
When did you first start to notice these limitations? 	none
I suppose it's only been around the last year or two? Came on slowly with being unable to do small things and then got worse. 	mobility
Do you give piggyback rides to your grandchildren? 	interpersonal interactions and relationships
Unfortunately, I can't anymore. My daughter or granddaughter now would help assist me	interpersonal interactions and relationships
--------------------	--------------------
Can you tell me some of the things you do every day?	major life areas
I usually wake up at 7 am and get out of bed.	self-care
And how do you get out of bed?	self-care
Sometimes I roll myself off and push myself up onto my knees. Other times, I’ll use my left hand to push myself up.	self-care
Do you do any exercises after that?	none
Yes, I do some simple exercises to stretch and move my arms and legs while reading the morning news.	learning and applying knowledge
What do you do for your breakfast later?	domestic life areas
I usually have a muffin for breakfast, but it is hard to reach it from the counter, so I use a grabber-arm to get it down.	domestic life areas
--------------------	--------------------
How was your day today?	communication
Not too bad, but I had trouble carrying my groceries upstairs.	mobility
What happened? Did you drop something?	communication
No, I just found it difficult to carry the bags up by myself. It's getting harder by the day.	mobility
Have you tried using a shopping cart or asking someone for help?	communication
Yeah, I have a cart, but when it comes to the stairs, I just can't maneuver it on my own. And there's no one around to help me.	mobility
I see. How about your daily walks?	communication
It's going okay, but I slow down at times and also take more stops than I would like.	mobility
Are there specific types	none
--------------------	--------------------
Hey! How have you been spending your days?	interpersonal interactions and relationships
Not very active since I had an accident a while ago.	mobility
Oh no, I'm really sorry to hear that. Does it impact your mobility functions as well?	mobility
Yes, I struggle especially with carrying items up the stairs.	mobility
Oh, so you have to carry things often at your living place. How frequently you need to handle it per day?	domestic life areas
Daily, because there is no elevator, even though I restarted fitness moments ago with help.	domestic life areas
That can be a lot to manage. Can I ask if there's any assistance that provided through worker or family?	interpersonal interactions and relationships
Sometimes my sister helps me carry baguals but after her bedtime, nobody	interpersonal interactions and relationships
--------------------	--------------------
Hi there, how was your day going so far?	none
Oh, it's been okay. A little exhausting.	general tasks and demands
I'm sorry to hear that. Is there anything in particular that's making it more exhausting?	general tasks and demands
Just some general stiffness and fatigue. It seems like anytime I do any activity involving using my hands I have a tough time later on.	general tasks and demands
I can relate to that. Could you tell me more about it? Like, when does it usually happen and how do you feel when it does?	communication
Sure. Usually it'll start a little while after I've been doing something. For example this morning it was while I was cleaning my table. Just gripping and moving some	domestic life areas
--------------------	--------------------
Hey, how's doing today?	communication
I'm doing ok, Thanks for asking.	communication
Can you tell me what did you do yesterday?	learning and applying knowledge
Well, let me think...oh, in the morning, I had difficulty walking to the restroom because it's quite far.	mobility
Why was it?	communication
