utterances	labels
What have you been up to these days?	major life areas
Oh, just the usual things. I try to keep up with household tasks.	domestic life areas
Can you tell me more about that?	none
Yeah, I rent an apartment so there's always something to arrange or fix.	domestic life areas
When do you usually fix things?	domestic life areas
Normally on weekends. I try to avoid asking the landlord Although fixing the problems itself is not too difficult.	domestic life areas
And what about getting food and groceries?	domestic life areas
I don't run out of food or essentials as I depend on buy thy meal services However sometimes they fall out for any inconvenience I get food from the supermarkets	domestic life areas
Do you have City connection mean it available easily?	community, social and civic life
I has	community, social and civic life
--------------------	--------------------
How was your day today?	communication
It was fine, as usual. Though I had a problem while trying to tidy my room.	domestic life areas
What happened, was it hard to clean up?	communication
No actually I have been trying to properly arrange every household object in their suitable places. From upholstery curtains to appliances that suit with the colors of my rooms. Frivolous things probably. But it makes the atmosphere the way I like.	domestic life areas
I see. Do you find it difficult to remember which items go with which particular colours or almost?	communication
Oh not at all. Actually I just relish having an over and done with room overhaul often from fixtures to upholstery to pillows.	domestic life areas
It must naguar head occuss	none
--------------------	--------------------
How was your day, is everything okay at home? 	interpersonal interactions and relationships
I had so much housework this afternoon. Cleaning never ends every week. 	domestic life areas
What did you have to do at home today? 	domestic life areas
Oh, no special things. My starting point is water-resistant microplane collector and continued damp mop nearby edges, discarded numerous factory-cleaned dishes, re-pad and burn cushion much personal companions,hugs rug snappers clean-up, one loom job reduce delayonce against was fixing with flex E5 glue , and copy household review papers to notebook forever places.Not worth mentioning anymore. 	none
Did all the work affect your back? 	self-care
Obviously yes. Grocery shopping mom hid heavy things that are	none
--------------------	--------------------
How was your day today? Anything unusual happen today?	interpersonal interactions and relationships
Nothing major happened but I did purchase a new couch today. 	domestic life areas
That's nice, where did you buy it from?	interpersonal interactions and relationships
I went to a furniture store which was decently close to my house.	community, social and civic life
Did you rent a truck to bring it back home?	domestic life areas
I paid to have it delivered. It makes things much easier having someone bring it over.	domestic life areas
Was it difficult to select the couch you wanted?	domestic life areas
It took me some searching, but I found one I fell in love with. It's comfortable and feels just right.	domestic life areas
That's always a good sign hesiration is cue to minimizing joy loss.	none
Choosing between	none
--------------------	--------------------
What do you usually do in the morning?	major life areas
I usually wake up around 6am and brush my teeth.	self-care
And what about for breakfast?	domestic life areas
I prefer to have some oatmeals and a cup of milk.	domestic life areas
Do you do the grocery shopping by yourself or someone will assist you?	community, social and civic life
I usually meet with my children in the supermarket next door every Saturday afternoon to do the grocery together.	interpersonal interactions and relationships
Oh Great, do you prefer possessing magic clean belongings in your house to spare some money?	none
That'd rounded up against quality sometimes. My son and my daughter-in-law used to give a hand at cleaner activities around the house every fortnight. Yet, sometimes some soapy ointments I	domestic life areas
--------------------	--------------------
Hey! How have you been doing?	interpersonal interactions and relationships
I've been fine, thank you! How about you?	interpersonal interactions and relationships
I'm good too. So, tell me how do you spend your daily routine?	major life areas
Well, every day I wake up early in the morning at 5 and make my own bed? 	domestic life areas
Nice! How often do you clean the bed when you change the linen?	domestic life areas
Usually, cleaning the dirt Doesn't feel necessary until big quarcoles were formed after a month 	domestic life areas
--------------------	--------------------
How do you usually buy your groceries?	domestic life areas
Normally we drive to the grocery store on Wednesdays. Sometimes, our daughter helps out and brings over some groceries for the ones we can't get locally.	domestic life areas
That's nice, what do you do about repairs around the house? 	domestic life areas
It depends on the type of repairs which are required. Most of the certain reparis jobs, we still like to do ourselves. If it doesn't turn out working correctly. Or limited on time. If it is an excellent paramount operatations matter like exterior isolation or cleaning the structure, then I call professional estoppels in support all duties halt search not encounter unexpected complications you vernann obtain maximum finance by making research decisions sustainibility	none
--------------------	--------------------
So, how was your day today?	none
Ah, nothing goes too smoothly for me nowadays. Earlier this afternoon as I was mopping the kitchen floor, I slipped and fell down on the floor.	domestic life areas
Oh no, that sounds so painful. Are you alright? Did you hurt yourself?	interpersonal interactions and relationships
Thankfully, nothing serious, but I banged my knee pretty hard.	self-care
That's good you were not hurt seriously. Let me know if there's anything I can assist you with, alright?	interpersonal interactions and relationships
Thank you for your kind offer. Can you recommened me any non-slip products that will stick to the kitchen floor? 	domestic life areas
Yes, of course. In fact, my cousin just moved to a coastal area where	community, social and civic life
--------------------	--------------------
How have you been doing lately?	interpersonal interactions and relationships
Oh, you know, the same old routines over and over again.	none
Can you give an example of something your routine includes?	learning and applying knowledge
For starters, I water all my plants once a day and sweep the floor after to take this #little hair off.	domestic life areas
That's great! How often do you have a major cleaning spree in the parts of the house that aren't daily routines?	domestic life areas
Hmm, usually once in every three months. But, some others ain't adding up to upkeep the spacious now rented residence of brotherline, damn... maybe wider spruces come in aeons...;	none
Have there ever been times when you had trouble handling your daily tasks?	general tasks and demands
--------------------	--------------------
How has your daily routine been this week? 	major life areas
Very hectic almost every day. I need to make sure that my space and stuff are in order. 	general tasks and demands
What kinds of belongings did you have to take care of the most that kept things busy for you? 	domestic life areas
My bedding disrupted and I needed to wash in water. Also, I had a leakage-line under the kitchen fixtures. Quite bamboozling how that stays required dozens of daytime to unclogged. 	domestic life areas
How did you manage to acquire household goods after attending hospital appointments? These are really tiresome circumstances, sometimes suppliersworkman sticks to a verilog to rush sell negotiations and this lands on negotiation just intake. 	community, social and civic life
Indeed. Hope deliver	none
--------------------	--------------------
How was your morning, feeling good?	none
Just okay. Woke up today late again. Haven't been getting the sleep I need some nites	general tasks and demands
Did you have trouble sometimes finishing basic work these days?	general tasks and demands
Sort of . slower overall because i stopped some tasks before completion such as household tasks like petting the cats which actually took time.	domestic life areas
Did you notice any differences in the way you manage the design your living areas for some days;	none
