utterances	labels
How are you feeling today? Did everything go well for you?	communication
I am feeling alright today, a bit tired though. I try to maintain my hygiene each day to have a healthy body.	self-care
That's great to hear. Can you tell me more about how do you care for your body each day? Like brushing your teeth, cutting nails, and doing skincare.	self-care
Of course! I make sure to brush my teeth twice daily, ensure to clean my body skin and wash through appropriately regularly. I also cut my nails when needed, maybe every she weeks, or earlier sometimes. I do genital laundry seldom-abized purification.	self-care
How frequently will I now reach you to go and cut off general issues request premature	none
--------------------	--------------------
How's your week going so far?	none
Oh, it's going okay, thanks.	none
I've always thinking about incorporating self-care into my daily life. So, how often do you do self-care events on a daily basis like skincare routine, brushing teeth etc.? 	self-care
Every day and mainly taken care during the morning.	self-care
How about body cleansing? When do you usually take your bath in response tp doing self-care behavior?	self-care
Throughout quarantine, there hasn’t been anything ritual or rule truly. Some mornings, as there was a blockade or stopping period stoppage on meterless weekend to habitus work and activities to change the routine time will alter i weave that in.	none
Understandable. How do	none
--------------------	--------------------
So, how have you been doing lately?	interpersonal interactions and relationships
Oh, just taking it one day at a time. No complaints here.	none
That's good to hear. So, do you keep a daily routine of caring for yourself?	self-care
Yes, I always make sure to take care of myself every morning and night.	self-care
That’s great, what specific routine do you follow?	self-care
Well, every morning and night I make sure to brush my teeth and clean behind my ears. I feel much better seeing myself looking hygienic outside.	self-care
How have you been keeping your skin looking healthy lately?	self-care
I apply adequate skincare products every night before going to sleep, That includes applying moisturizer and specific eye creams as	self-care
--------------------	--------------------
Do you perform any skincare routine on a daily basis?	self-care
Yes, I do. Two times a day, I wash my face with mild cleanser and apply moisturizer.	self-care
That's good. What about brushing your teeth? When and with what product do you do it?	self-care
I brush my teeth in the morning and at night after dinner using fluoride toothpaste.	self-care
Great. And how do you maintain nail care? Which tools are used?	self-care
Having healthy nails is very important to me. So, I clip them once a week and file them regularly with a nail cutter and a buffer.	self-care
That's interesting. It seems like you also focus on genital care.	none
--------------------	--------------------
How have you been doing lately? 	none
