utterances	labels
Did you have any interesting communication events today?	communication
Yes, I was speaking with my grandson over the phone this morning.	communication
That's great! And how did the communication go?	communication
It was a bit difficult to understand him again. Even though he's developed an excellent accent over the years, the call quality wasn't the greatest today.	communication
Oh, I see. Any tricks or tips you used to help with understanding?	communication
Yeah, I had to ask him to repeat couple words that I didn't quite get several times. And then, I started mirroring those hard to hear words to make sure I mouthed about the same thing as my grandson.	communication
That's clever. Communicating over phone can	communication
--------------------	--------------------
Hi, how are you today?	communication
I'm okay, thank you for asking.	communication
Have you done anything interesting lately?	none
I've started watching a lot more television since I've been spending so much time at home.	leisure and recreation
Do you have any trouble understanding the spoken language on the shows?	communication
Some of the shows are harder to hear than others, but mostly I'm able to follow along okay.	communication
That's good. How about when you're talking to family and friends on the phone?	communication
I can usually hear them okay as long as they speak clearly, but sometimes I have to ask them to repeat what they said.	communication
So it sounds like understanding spoken language is sometimes challenging, but	none
--------------------	--------------------
Hey, how was your day today?	communication
Oh, it was fine I suppose.	none
Anything exciting happen? Maybe you talked with any new people today?	interpersonal interactions and relationships
Actually, come to think of it, I was on the phone with my niece earlier. She called to make sure I was okay since we haven't seen each other in a few weeks.	interpersonal interactions and relationships
That's sweet. Did you have any difficulty talking to her on the phone?	communication
Not really. Sometimes her voice is a bit hard to hear, but I had no issues today.	communication
That's great to hear. Any other interaction or communication that sticked out to you when talking with others?	interpersonal interactions and relationships
Just when I was writing in my agenda	learning and applying knowledge
--------------------	--------------------
So, how has your week been, John?	major life areas
Well, it's been a mixed bag of experiences. I went to the grocery store yesterday and had difficulty communicating with the cashier.	domestic life areas
Oh no, what happened when you tried to communicate with them?	communication
I simply couldn't understand their heavy accent. It was frustrating, as I couldn't quite understand the prices on some items due to my partial blindness. 	communication
That must have been frustrating. Was there anything the store did to attempt to assist you?	communication
Yes, thankfully the cashier realized I was having issues and asked a co-worker to assist in showing me where things were and having them ring up the total bill. It made things easier, though it still	communication
--------------------	--------------------
Hey, how are you feeling today?	communication
I'm feeling okay, thank you! 	communication
That's good to hear. Have you been doing anything interesting lately? 	communication
Oh yes, I decided to take up painting for a new hobbie.	learning and applying knowledge
That’s wonderful. How many times in a week do you paint and how do you find inspiration	learning and applying knowledge
About once in a week and get inspiration from things around my garden.	learning and applying knowledge
That's amazing! So, do you see colors well? 	communication
No so vivid as before but I can see different shades.	communication
I see. How would you usually ask for assistance if you get hunged? Do you find yourself well understood by	communication
--------------------	--------------------
What have you been up to in the past few days?	none
I usually read the newspapers and chat with my grandchildren.	interpersonal interactions and relationships
When do ususally read the newspapers and communicate with your granchildren?	communication
I read the newspapers in the morning. And For talking to them, my granddaughter telephones me in the evening when she comes back from schoool.	communication, domestic life areas
Do you communicate with yor other relatives too or just grandchilden?	interpersonal interactions and relationships
Everyday, myself and my wife Lady have breakfast before she chircles by on their own and my sons return from work and come for Supper. But at the moment since Covid restructios, we are not visited. ...	domestic life areas
--------------------	--------------------
How do you usually communicate on a regular day, for instance?	communication
I generally receive phonevideo calls from my grade-school still employed.	communication
That's nice.How about when you converse face-to-face?	communication
I prefer that over social media since comingmingling with co-dlink makes me more comfortable.	communication
Are the conversations face-to-face clearer to understand than on the phone?	communication
P Generally.Clearing more on count.	communication
Do you perhaps notice hearing disorders during a facial discussion ?	communication
P Not any discernitable.New medical treatment wokensh suggests that.	communication
F.:That great!Do b unfamiliar wordsabbreviations obtained on phone instill curiosity.	communication
P Definitely, i couldn't pronounce some German football player's	communication
--------------------	--------------------
What are some things that you do in your routine daily life? 	major life areas
Oh well, in the morning I make myself coffee oftehn 	domestic life areas
That's nice! How do you communicate that you need coffee in the morning? 	communication
Well I will either say explicitly or use gestures to make my point.	communication
What other ways do you receive instructions or new information for the day? 	learning and applying knowledge
If it's important information, my doctor typically inputs that electronically 	learning and applying knowledge
Very organized! What about things like going grocery shopping or making an appointment? 	domestic life areas
Oh, I rely solely on part journalscalendars to document all necessary life chores so I attempt lessen the load of information to switch more manageable. 	learning and applying knowledge
--------------------	--------------------
What have you been up to today, anything interesting? 	none
Well, I had a communication difficulties this morning. 	communication
I'm sorry to hear that. Can you tell me more about it? 	communication
Yea, I couldn't properly understand the word of cashier at shop during checkout. 	communication
May I ask in which situation you experience a communication difficulties? 	communication
Just so random timing; I was pondering my whole day schedule in the cereals row aimed and shielding his voice. . 	communication
Oh, so noise may affect the additional issues path during public locations? 	communication
Looks I struggeling pre velnce ringing into my each ears quite properly in grocery store first, unable to focus balancing	communication
--------------------	--------------------
Hi, how's your day going?	communication
Oh, not too bad.	none
That's good to hear. Could you tell me about an event from today where you had to communicate with someone?	communication
Yeah, actually I had to make a phone call earlier to my doctor's office.	communication
Oh great, can you tell me more about that?	none
Well, I had received a voicemail from them and I needed to reschedule an appointment. So I called back and spoke with the receptionist.	communication
And how did the call go? Were there any difficulties in communicating with them?	communication
Despite some small concerns I had which I told her about; cough and body-temperature things since a week ago,	communication
--------------------	--------------------
Hi, how's your day going?	communication
It's going alright, just reflecting on some events in my day.	learning and applying knowledge
What happened?	communication
Well, earlier I was reading a book and I found it difficult to comprehend some sections.	learning and applying knowledge
Oh really? When reading the book, was it hard to recognize or pronounce certain words? 	communication
Not exactly, I could pronounce them well enough, but understanding the meanings behind the sentence structures was troublesome.	learning and applying knowledge
How was your overall writing important in processing meaning?	communication
It improved with taking breaks between successful reading of sections and going back over until showing comprehension – process once or twice understood context meanings quite easily. 	learning and applying knowledge
That can also depend social, broad topics and be	none
--------------------	--------------------
What have you been up to today?	none
Well, I woke up early and turned on the news to catch up on world updates.	learning and applying knowledge
That's a great start to your day! How about when you Communicate, when do you use your telecommunication devices?	none
Usually in the afternoon, I ring up my family.	communication
How do you communicate with them?	communication
Oh, I use video calls through Skype sometimes, and an occasional texting through WhatsApp.	communication
Neat! Anything else benefitting that appeared regarding Messaging nearby?	none
Well, since it was raining, my son sent alert updates on conditions surrounding their school via SMS.	communication
I'm a Strong	none
--------------------	--------------------
Good morning, how are you feeling today?	communication
I’m feeling good. Thanks for asking.	none
That's great to hear. Can you tell me about your daily events that involve communication?	communication
