utterances	labels
Do you have any specific domestic situation in your life lately that you want to share with me?	domestic life areas
Yes, my grandson came to see me over the weekend and I really struggled to move around my apartment.	mobility
Is the apartment cluttered or did you develop any mobility concern recently?	mobility
The building installed new heavier doors, and my arms become sore as I try to open them.	mobility
Have you communicated your problem to the manager or caregiver who can open the door for you?	communication
Fortunately, I did on time and it feels much easier now. I reminded them the room transparency suits my physical edge better.	communication
Ace, it seems beneficial to share these kinds of house matter professionally to increase functionality. Is there anything	none
--------------------	--------------------
How was your day yesterday, anything interesting? 	none
Oh, nothing interesting really, just did some shopping and cleaning around the house. 	domestic life areas
What kind of shopping did you do? 	domestic life areas
Just bought some new bed sheets and a towel. 	domestic life areas
That's nice. Do you find that shopping for household goods gets harder as you get older? 	interpersonal interactions and relationships
Definitely, carrying my goods back home in the neighborhood can sometimes be a bit of trouble. 	mobility
How do you usually transport your purchases to get home? Do you make multiple trips or use a wagon? 	mobility
Sometimes, I use bags, but for larger purchases we need to bring bigger also rented cars as well used belate or kunrt	none
--------------------	--------------------
How was your day today? Was there anything different?	interpersonal interactions and relationships
Not really, honestly. I prepared breakfast and cleaned the kitchen.	domestic life areas
Did you face any difficulty?	general tasks and demands
Yes, there was faucet leakage from the drain pipe in the kitchen. I couldn't fix it myself. I had to call plumber to fix it.	domestic life areas
Oh, that sounds like a complicated issue. Is the plumber coming alone or should someone assist him?	interpersonal interactions and relationships
I don't know really. But, if someone else should come, It will be good to have someone besides me who could handle household equipment.	domestic life areas
If I were nearby, I can help, and you what call the other services likewise did so far. Will it be better adjusted on	none
--------------------	--------------------
How was your day? Did you have any plans?	interpersonal interactions and relationships
Oh, my day was pretty busy. I had a mattress delivery.	domestic life areas
A new mattress! How did it go? 	interpersonal interactions and relationships
Well, the delivery man just stayed briefly. He said he had a tight schedule to stick to.	general tasks and demands
But how did you move the mattress into the bedroom? Who assisted you?	mobility
Luckily, I got some help from local movers. They transported it to the bedroom and removed the package. 	general tasks and demands
That sounds great. When did they arrive and how much did you pay?	interpersonal interactions and relationships
They carried out mattress shipment this morning I ordered plus other furniture the previous week. Their charges weren't exorbitant since they already admit	community, social and civic life
--------------------	--------------------
How was your day today?	none
It's been okay. Spent a lot of my morning cleaning up around the house.	domestic life areas - cleaning
What did you have to clean up?	domestic life areas - cleaning
Just mostly tidying things up and putting everything in its place. A bit of sweeping, too.	domestic life areas - cleaning
Do you find keeping things organized at home important?	none
Yes, very important! I feel much better when the house is clean and everything is in its place. 	domestic life areas - organizing
Is there a specific routine or schedule you follow for cleaning?	domestic life areas - cleaning
Well, I like to vacuum once a week to keep the carpets tidy. Other than that, usually just clean up a bit each day so it doesn't add up too much later.	domestic life areas - cleaning
--------------------	--------------------
Can you tell me about your morning routine, how do you usually start your day?	self-care
Well, I usually wake up around six o'clock, have a cup of tea, and take a shower.	self-care
That's interesting. How do you get your groceries?	domestic life areas
I usually order high-volume online once a week but I also like to drive and personally visit the supermarket ocassionally.	domestic life areas
That sounds convenient. What about meal prep? 	domestic life areas
I also try to prepare most of the meals unless I experience a slow functioning lapse of cotadding more behind.situation 	domestic life areas
When it comes to cleaning and maintenance at home, who does what and how are responsibilities divided?	domestic life areas
--------------------	--------------------
How was your day today?	interpersonal interactions and relationships
It was fine, thank you!	interpersonal interactions and relationships
Did you do anything interesting or get anything done at home?	domestic life areas
Yes, actually, I finally bought some new furniture yesterday for my living room.	domestic life areas
Oh, that's fantastic! Where did you go to buy furniture?	interpersonal interactions and relationships
I went to a nearby furniture store.	community, social and civic life
And how did you choose what to buy? 	learning and applying knowledge
I looked at a lot of different items and ended up choosing a comfortable sofa and some side tables, which matched my decor.	learning and applying knowledge
Did they give you any assistance with transporting it back home?	community, social and civic life
Well, thankfully, my grandson came to help me with the transportation. We loaded up everything in his	interpersonal interactions and relationships
--------------------	--------------------
What did you cook for dinner last night?	domestic life areas
I decided to experiment with something different. I made spaghetti for dinner.	domestic life areas
That sounds delicious. When did you acquire the skill to make spaghetti?	learning and applying knowledge
I learnt to cook pasta and spaghetti dish from my Italian friend several years ago.	learning and applying knowledge
That's awesome! Have you been going to the market to acquire family vegetables, or do you place order online?	domestic life areas
Nowadays I prefer placing orders for vegetables; some requirements have to be satisfied here. Therefore, my children order gradually becomes our dinnertime discussion.	domestic life areas
Wow, that exaplins comeptive. Did moving racks around impact your view hanging fittings consistence?	mobility
Yes in a positive wue	none
--------------------	--------------------
What did you do today?	major life areas
I went to the grocery store to buy food.	community, social and civic life
Is it far from your house?	mobility
