utterances	labels
How are you doing today? 	communication
I'm pretty tired actually. 	none
What have you been up to? 	none
Getting myself set up at the retirement village. 	major life areas
How has the experience been so far? 	none
Lots of adapting to do. people introduce themselves, and their life stories, good distracts even though we're braced it mandatory feelings. good difficulties ones vice versa underpinning ability discomfort put humour humour order generally hold water towards holding social structures offer treatment paramount much ongoing needed 	interpersonal interactions and relationships
I'm not sure I quite understand. Can you tell me more about your difficulty with communication? 	communication
It's hard for me being a social person, things seem a tad mechanical or robotic	interpersonal interactions and relationships
--------------------	--------------------
Can you tell me about a communication event that happens frequently every day? 	communication
Oh, yes. I usually call my granddaughter after dinner.	interpersonal interactions and relationships
How do you usually communicate with her?	communication
I use the telephone. 	communication
That's great! Do you find the telephone easy to use?	communication
Oh, I remember the first time I used it, it was pretty hard. But now, I am used to it and I really appreciate being able to hear my granddaughter.	communication
Oh, that's lovely. What kind of things do you and your granddaughter talk about?	interpersonal interactions and relationships
We usually talk about what we’ve done during the day. She is attracted by everything around her, and she openly shares this enthusiasm to	interpersonal interactions and relationships
--------------------	--------------------
So, how was your day today?	communication
It was good, as usual. 	none
Interesting, what activities did you enjoy today?	learning and applying knowledge
I like sitting in the garden of this nursing home.	community, social and civic life
How does the soothing environment change how you feel? 	communication
I communicate better when there are not many things distorting my ability to listen or make sense of conversations; the picturesque nature makes me excited about life.	communication
That sounds nice, I would ask 'con-what senses does it engageactivity he responds initiated: visionsjoints, translating memories, resolving problems and controlling effect' but we only have a certain number of strict;y gutoopye countfo validate regardless syntax	none
It locks memories long	none
--------------------	--------------------
So, how's your daily life going- any interesting events?	none
Oh yes, actually, I've had occasional phone calls with my grandkids in the mornings.	interpersonal interactions and relationships
That's wonderful to hear. How do you stay in touch? Would listening to them prerecorded be the kind of feeling that is unprecedented?	communication
Yes! They text beforehand some needed information on how to locate the connected automatic recording volume call ability instruments on smart phones or other online computers browsers, add in additional guides to help my want or inquiry priorities between our technological devices in strength for video conferencing upkeep agency availability instant content	communication
I see. And what kind of conversations do you usually have with your grandkids during your calls?	communication
We	none
--------------------	--------------------
So, tell me, have you been using any form of communication to keep in touch with your loved ones lately?	communication
Yes, every morning, I make a phone call to my daughter.	communication
That's great to hear! How do you activate the speaker on the phone?	communication
I just hold the phone closer to my ear so I can follow the conversation easily.	communication
Hmm, but isn't that hurting your neck ? 	none
Actually it doesn’t. Although, I hold usualsed to up against my ear when hearing over a dozen years but modern technology helps clear sounds.	communication
