	utterances
0	How was your day today?
1	Oh dear, same like always these days.
2	Can you elaborate on what happened or what you did?
3	I went to the barbershop to trim my beard and that's the main thing I did today.
4	Did get a chance to talk with the barber? 
5	Yes, I jokingly told him about the things I must lose besides hair and finally some friends accompanied its loss over the years.
6	That's quite funny, Intacting in a jestful way helps us release tension have fun by mutually understanding some desirable insight
7	Yes indeed, it eases to wait, and meaningless chatter is strange and useless anyway.
8	--------------------
9	Hi! How are you feeling today?
10	I'm fine, thank you for asking.
11	Is there anything interesting happened today?
12	Well, a gentleman at the store couldn't reach the item on the top shelf and looked like he was struggling. I offered to help him and he thanked me for it, that's about it.
13	That was very kind of you. Can you tell me more about it? How did it happen?
14	He wasn't tall enough to reach the item and no one was around to help him. I was a bit hesitant at first because of social distancing rules, but I thought nothing would happen if I upper the mouth mask and helped him - keeping Social change is quite difficult these
15	--------------------
16	Hey, how was your day?
17	Well, it was okay. Not that eventful.
18	That's ok, sometimes those types of days can be good too. Was there anything you did today that you particularly enjoyed?
19	Yes, actually. We had a new neighbor move in next door and I introduced myself and helped him move some boxes inside.
20	That was great of you! How did you start a conversation with him? 
21	Oh, I just asked him if he needed help moving his boxes and we got to talking about where he's from and what brought him to the neighborhood.
22	That's a nice gesture and it shows that you're actively making connections with the people around you. What
23	--------------------
24	Hey, how was your day today?
25	Quite good, thank you. I met my neighbor today and we chatted for a while.
26	That sounds nice. Did you ask your neighbor about anything in particular?
27	Yes, I asked about her dog as he reminded me of my one who looks similar.
28	That’s a great conversation starter. Did I ever tell you about the time when I asked a stranger in a coffee shop where he got his shoes ?
29	No, please let me hear it. What happened in that shop?
30	It turned out he really liked my enthusiasm on his swag and stopped to see how I was feeling. We even finished the task of many crossword together over coffee.
31	--------------------
32	Hi there, how was your day today?
33	It was alright, but I had a really frustrating experience at the grocery store.
34	Oh no, what happened?
35	I wasn't sure which aisle the cereal was on, so I asked a store clerk. She seemed displeased by my question and barely helped me find it on the shelf.
36	That must have been frustrating. Did you say anything to her?
37	I didn't want to cause a scene so I just reiterated that I had difficulty finding it. I think it would've been easier if she just pointed me in the right direction.
38	Did it take a while for you to find the cereal?
39	Not too long. I discovered that
40	--------------------
41	How are you feeling today?
42	I am doing good, thank you. 
43	Great! So did you have any social interactions recently?
44	Not really, but I did something recently that I'm proud of! 
45	Really? What's that? 
46	Well, my neighbor, who rarely speaks to me acknowledged me with a smile, and I greeted her back. Normally, she stares at everyone and just walk pass by my porch.
47	That's really nice!
48	It felt really respectful, right?
49	Absolutely! When did this happen?
50	Yesterday around seven in the morning as I step out my porch to water the plants.
51	Oh wow, that's really odd timing
52	--------------------
53	Good evening, how did you spend your day?
54	Oh, pretty good. I received visitors this morning.
55	That's great! Who were your visitors?
56	My neighbor my across the cul-de-sac and her kids. They wanted to visit the new flowers that I had planted.
57	When they visited you in the home, how did you welcome them?
58	I opened the door, and I invited them in with a smile. offered then snacks and something to drink. 
59	Did they like the snack and drink you offered?
60	Yes. Her daughter was caught Looking Wide eyes to what I put May Be it's strange at seventh thats' food, but nothing spined Harm
61	--------------------
62	How was your day today?
63	It was a little busy, actually.
64	Oh no, what kept you so busy?
65	Well, I needed to stop by the pharmacy to pick up my medication. But on the way there, I ended up having to ask a stranger for directions.
66	Did you have any trouble asking for directions?
67	A little bit, I couldn't remember the name of the road I was looking for.
68	Oh, that must have been tough; but were you able to find your way to the pharmacy alright still?
69	Yes, the person was very patient with me and gave me a helpful explanation.
70	That's great. How about later in the day, did
71	--------------------
72	Can you tell me about something that happened today regarding your interpersonal interactions and relationships?
73	Yeah, after I woke up, I chatted with my neighbor. 
74	Tell me more about that. How did the conversation start? 
75	I saw her cutting the grass in her front yard when I was leaving my house. I smiled and said good morning. Then, I asked her about her health because I noticed she recently where in the hospital.
76	That's very thoughtful of you. How did she respond?
77	She told me that it was serious, complication after surgery, and she appreciated me asking. I remember her mentioned that she was house-bound lately and missed attending church.
78	And how did you
79	--------------------
80	What did you do today?
81	I talked with my neighbor this morning.
82	Oh, nice. How did the conversation go?
83	It went okay, I just asked how they were doing and we talked about the weather for a bit.
84	That sounds wonderful. Did anything else happen in your interaction with them?
85	Well, they seemed a bit flustered and didn't really make eye contact with me when we talked.
86	Hmm, that's interesting. Have you noticed anything like that before in your interactions with them?
87	Yes, actually now that you mention it, they've always been a bit distant with me, even though we've been neighbors for a few years now.
88	--------------------
89	That's a nice jacket you're wearing today, where did you get it? 
90	My niece got it for me on my birthday last month. 
91	That was thoughtful of her. Have you talked to any of your other family members recently?
92	Yes, my son called me yesterday. We had a long chat about his work and his kids.
93	That must've been nice. What about your neighbors? Have you had any conversations with them recently? 
94	Actually, yes. My neighbor invited me over for a cup of tea yesterday and we had a pleasant time swapping stories. 
95	That's great to hear. What about your interactions with professionals, like doctors and nurses? Have you had any
96	--------------------
97	Hi there, how was your day?
98	Decent outing, I had chores today.
99	What kind of chores kept your schedule jam-packed?
100	I went to med clinic early morning and then grocery shopping rest of the day.
101	Was your grocery-shopping done properly?
102	I didn't face any problems chatting with the cashier at all. And I managed customer queues well.
103	It's great to hear you got your groceries brimming secure while managing rushes! Keep your positivity showered and talk to those who no longer harm or disrespect anyone B-.
104	Yes, treating others right influences people to think done like mirror-effect that ebboost their low times jointly lifting our lifespan spirits。
105	--------------------
106	Hi there! How are you today? 
107	Oh hello. I have just been trying to tidy up my house after it was ransacked last night. 
108	Ransacked? How did that happen? 
109	Someone broke into my glass back door in the job in and from the looks of it came straight up to my small safe unlock contraption and ransacked it. 
110	I'm so sorry that happened! Who did you call for help? 
111	It took me awhile to brave calling for medical intervention, so I finally got the guild legal head in charge named *his name*''' to here me. It seemed easier that way, dear :'. 
112	It's okay
113	--------------------
114	How have you been, lately?
115	To be honest, it's not been easy to manage things on my own.
116	What happened?
117	Every time I try to go outside and take a walk, I become overwhelmed keeping track of everything going on around me and sometimes unclear about which way turn and look confused infront of the strangers.
118	Is there any specific event?
119	A few days ago, I needed to shop for griving parents present but lost and unable remembering which gift my parents hide to avoid spend too much in these live case. 
120	That sounds difficult. Do you have some specific grounds causing these?
121	I visited doctor since event began occurring from a few months now.
122	--------------------
123	Hey, how's everything today?
124	Oh, I've had a busy week. Let me tell you about yesterday.
125	Sure, what happened?
126	I went to the grocery store, and I asked an employee where to find sweet potatoes.
127	That sounds simple. Did you have any trouble asking for help?
128	No, I didn't have any problem. The employee easily helped me find it.
129	That's great to hear. Well done!
130	Also, while I was standing in the checkout line, I overheard someone behind me talking about a recipe I love making.
131	Really? What did you do after that?
132	I turned around and commented asking if he enjoys that recipe
133	--------------------
134	So, how's your day going, sir?
135	It's going fine. Except for one minor issue earlier.
136	Oh really, what happened?
137	I attempted to strike a casual conversation with my neighbor today and ended it awkwardly. 
138	I'm sorry to hear that, what happened exactly?
139	Yah, well I asked him if he had received the package I brought him due to not seeing him since then- he told me yes, with a curt tone and started to turn away towards his doorstep implying unwillingness to speak with me any longer.
140	That's unfortunate. Was he busy doing something at that time when you made conversation?
141	No, not really... that's another
142	--------------------
143	How did your day go, have you interacted with anyone interesting today?
144	Oh, yes! This morning, while I was waiting for the bus, a kind young woman struck up a conversation with me and showed me how to use the bus schedule.
145	That's great! were you able to go to your destination smoothly.
146	Yes for the most part. The driver mistook my request for a corner intersection, and I ended up getting lost for a few minutes.
147	But, was this the first time taking the bus route on your own?
148	No, it's my fourth time using the route in 3 weeks, I normally have encounters similar to this.
149	OKaying then, how about
150	--------------------
151	How was your day today, did anything interesting happen? 
152	Oh yes, I attended a community meeting earlier this afternoon. 
153	That sounds interesting, what did you talk about at the meeting? 
154	We were discussing the reconstruction of the city playground, several visitors had approached us regarding providing funds for more blocks for the childen to play with at recess.
155	That sounds productive. Were they strangers who approached you? 
156	Some were certainly recurrent paticipents. Most we’re regular begadian people attended. Used it as a platform to talk, really. 
157	That's pretty good community involvement from you. Must have been a full room of people? 
158	It was! I
159	--------------------
160	Hi there! how life's been since last time we talked?
161	Well, you know, as you get old everything slows down, and sometimes communication hasn't where I want it manages, but,hey, no worries, let me tell you about a recent event
162	Sure! Tell me more when did the event take place?
163	It was like 2 weeks ago, Just visiting my neighbor to borrow some tools for Weeding my front Lawn.
164	 What did he say? 
165	Very Welcoming lady as always open-ended scenario: she asked for what looked valuable sort of starting price for good interaction yeah from other's party - but this turned comforting small-Talk between
166	--------------------
167	Is there something that happened today, that you want to talk about?
168	Yes, I met my friend at the park today. 
169	That sounds nice. How is your relationship with your friend?
170	We’ve been friends for years now if I remember well, we met at a hobby group and realized we have similar interests.
171	What did you both do? 
172	She brought her pictures that she has taken recently and used newly acquired lesson, against critcisms.I looked whole folders and enjoy it. Later we both chatted.
173	What side of typically experiences caused a happy time them for you-two?
174	I think ? It's usually a shared friend group involved repeatedly talk
175	--------------------
176	Hi there. How are you feeling today?
