	utterances
0	Hi there! How has your day been? 
1	It's been okay. Same old routine for an elderly.
2	What does your daily routine look like?
3	Well, I typically wake up at 6 am, prepare my breakfast, followed by a cup of warm green tea, and spend around an hour doing light exercise.
4	That sounds reasonable! Do you have anything you like to do throughout the day?
5	Yes, I like to watch TV, then in noon, prepare a hearty sandwich for lunch, then take an afternoon nap for ten minutes, shampoo, and followed by putting clothes out for tomorrow.
6	Have you modified your daily routine?
7	Yes, recently have adapted YouTube, liked watching
8	--------------------
9	Hi, how have you been over the past few days?
10	I have been doing well. Thank you for catching up with me. How about you?
11	Pretty good too. What have you been up to these days?
12	I spend most days doing pretty typical things, like taking my medicine in the morning and eating three meals a day.
13	That sounds very reasonable. What tasks or events happen before or after that?
14	Most of my important events happen in the early afternoon, where I'd usually either go grocery shopping, do my exercise routine, or do some gardening for my hobby.
15	Hmm, sounds very lovely. How about if there will be silly changes? Can you just adopt it well with
16	--------------------
17	How have you been feeling lately?
18	Been feeling a bit off.
19	You have been having a schedule full of afternoon exercises for quite some time.
20	Yes, always felt better after swimming during my free time, but this last week i felt dizzy.
21	That's a shame to wo hat do you think can cause dizziness when swimming that formerly usualy provided wellbeing?
22	Well to know1the circumstances i noticed numb onset creeping experienced pain beforestrokes v similar. water soo hosna isuggerutsem ys when there surfaceiv it distruly inthat zious generallysen even lifes strong af 
23	Apologies this response from AI seems a bit mixed and nonsensical. Let me try again
24	--------------------
25	How have you been spending your days lately?
26	I have been struggling to do my tasks like I used to.
27	Can you give me an example?
28	Well, I forget the routine tasks like having meals on time.
29	So, when and how does that usually happen?
30	Usually, when I watch something interesting on TV, I lose track of time.
31	It sounds like it's difficult to adapt your routine accordingly. Do you have any tips that would help you? 
32	Sometimes I write reminders, but these are still ineffective because watching TV is more attention-grabbing. 
33	Have you considered setting alarms or asking other family members to help remind you to eat? 
34	--------------------
35	Can you tell me about your daily activities?
36	Sure, I start my day with morning exercise followed by a light breakfast.
37	And what do you do after breakfast?
38	I usually spend the morning caring for my home and completing household chores, that helps me stay active. Followed by a balanced meal at mid-day.
39	That sounds great, what about the rest of your day?
