	utterances
0	Did you end up attending your usual community event this week?
1	Yes! I actually met some new people today. 
2	That's great! Can you tell me a bit about what kind of community even it was?
3	Oh! It's a monthly music event where Irish groups play some traditional songs mainly with viola, accordion or harp and locals gather to feel refreshed by Irish music and culture.' 
4	When was it?
5	They do clean-up and renovation works first Tuesday of the every month starting at 10:30am.And then they start the music at around 12 pm.
6	That sounds fun! How did you learn about it?
7	Each community member try to get
8	--------------------
9	How was your weekend? You seem quite relaxed today.
10	Yes, I'm feeling better today. I found a community center near my house, and they have different events during weekends. On Saturday, I attended a movie and discussion event with some neighbors.
11	That sounds interesting. What movie did you watch, and how was the discussion?
12	We watched Dinner with Friends, a drama exploring fragile situations and worry about stable relationship with previous ones.. Moreover, typically emotions and person life rearrangement from friends history truly offer nicely unplanned possibility To discuss to adjust those relation. 
13	I see. Did you enjoy it?
14	 definitely, not only I share my opinion vehementl One non
15	--------------------
16	How was your day, do anything fun?
17	Not really. Went for a walk outside briefly, but mostly stayed home.
18	Any community, social, or civic events you’re planning to attend in the near future?
19	I enjoy going to church on Sunday for mass, followed by coffee and donuts. 
20	Which church you attend and at which time of the day does Sunday School begin?
21	I attend St. Joe’s, the Sunday School is at 8 a.m. 
22	Also at St Joe’s, is there a volunteer services coordinator that helps in different healthcare specialized city-wide social services include ongoing drop off points for medication?
23	Yes Susana Christas,
24	--------------------
25	Do you have any activities you participate in outside of your home, to engage in your community, or to connect socially with others besides family?
26	Yes, I do. Every Sunday, I enjoy going to church regularly that is very much a part of my routine every week.
27	That's great. Are you also involved in any other groups or volunteering activities as a part of community or civic life?
28	Oh, I am also volunteering at a Food Distribution agency that delivers food packages every week. Plus, twice a month, they host a blood drive aimed to ensure a good reserves of life saving products donated by multiple individuals from a variety of diaspora.
29	That's nice to hear. Do you to generate interfaith
30	--------------------
31	Hi there! How was your day going, lately? 
32	Pretty regular. I remember I did Grocery shopping the other day. 
33	When do you usually do your grocery shopping? 
34	I now go on Tuesdays after the couple next door does their’s so we black candy isn’t doing at the hands of local branches. 
35	Oh that’s cool, it’s busy enough already at greater Vancouver. Did everything you want up is shopping emerged right sometimes the craziness? 
