	utterances
0	Today is always a busy day for me!
1	Really? Why? 
2	Because I’m washing laundry for The Johns this morning. 
3	Do you wash it every week?
4	Yes, This It's included on my activities actually.
5	How many loads are you doing today?
6	Just a few loads of Regular cleaning clothes. 1-2 delivery by evening Can you write it on my checklist? 
7	Sure, I can do that. Do you have anything else scheduled?
8	Oh yes, I need to clean the dining room by noon as there's an appointment. 
9	Okay, but mind me letting someone know to assist you with your cleaning. 
10	That'd
11	--------------------
12	Can you tell me how you usually manage cooking your meals?
13	Well, I used to cook my meals every day, mostly at dinnertime but now it seems quite challenging since I struggle more with standing up for longer periods while cooking.
14	When did you start to feel difficult cooking?
15	I feel like I can't stand up for an extended amount of time anymore, mainly due to muscle fatigue and joint pain. So starting with maybe a couple of intermittent times throughout my days, and now, almost every night, it impacts my stamina getting dinner for myself poorly.
16	How about grocery shopping, how frequently can you go these days?
17	Grocery stores going out shopping regularly is also more challenging because of what seems
18	--------------------
19	Have you been doing anything interesting lately?
20	Well, I have been trying something new, making my breakfast.
21	Oh, that sounds great! What kind of breakfast have you been making?
22	I try to switch between making omelettes and scrambled eggs.
23	That's good! How do you usually make the omelette or scrambled eggs?
24	Yes, I beat two eggs in a bowel with cheese, add salt and pepper and mixu all of ingredients and then put it in the frying pan.But sometimes I burn eggs in th pan.
25	Breakfast is definitely the most important meal of the day. At what time do you usually eat breakfast? 
26	Normally, I like to
27	--------------------
28	How are your daily efforts to keep things tidy? 
29	Whenever I get the energy at chore interval slots provided.
30	How many intervals can there be during the day?
31	Either an hour after lunch, late afternoon, andearly evening was imposed; or whichever works enough accumulated weights to mutually admit as valid dismissal path nodes at explicit-choice instants.
32	Oh I understand, can you tell me a little bit more about household appliances you use? 
33	Their gain only continues certain forms , in forming addition choices,but I nurse adequate identity pieces when mastering daily skill units from time suiting this life-zone occupancy.
34	--------------------
35	What did you do yesterday, P?
36	I was busy doing housework. It's always my schedule every Friday.
37	What kind of housework do you usually do on Friday?
38	I dusted the house, changed the bed sheets and blankets, cleaned the bathroom and washed kitchen utensils.
39	That sounds like a lot of work. When did you start?
40	I began around 8 o'clock and finished almost at noon.
41	Wow, that's quite a while. Did it tire you out doing all those tasks?
42	Well, to some extent. But it's necessary if I want to maintain comfort in the house.
43	I can
44	--------------------
45	What did you have for dinner yesterday, P? 
46	I usually cook pasta or rice and vegetable for me religiously. I prepare meals for two days at a time. 
47	When do you do this?
48	Once I purchase the items in bulk, I prioritize chopping, cleaning and boiling all the fruits and vegetables once I reach back home from work.
49	Do you enjoy cooking? 
50	To be honest, my elder son comes to help anytime if possible but I love potatoes and frittatas only - so it works out with walking-chop.
51	--------------------
52	What did you do today at home?
53	I woke up early this morning and prepared breakfast for myself.
54	That sounds nice. What did you have for breakfast?
55	Just some toast with jam, eggs and coffee.
56	Did you make a plan for meals earlier already?
57	Yes, I did. I usually make a plan at the start of the week. 
58	oh I see , when do you prepare the food then?
59	After buying the necessary ingredients, I tend to enjoy both cooking andeating severalrecipesnext to each other either on Sunday evenings or Monday.I find thatcan eat different dishes throughout the weeksince ilikevarietyquite much : 
60	That's understandable.
61	--------------------
62	Hi there! How are you feeling today?
63	I feel fine, thank you. And you?
64	I'm good thanks. So tell me, what have you been up to today?
65	Mostly just my regular chores around the house.
66	What kind of chores have you been doing?
67	Oh, I washed some dishes and swept the kitchen this morning. After that I took a nap, and then I folded some laundry in the afternoon.
68	How often do you typically go through your daily routine of dishes and sweeping the kitchen like that?
69	Oh, I usually do it right after breakfast every day.
70	And how about laundry? Do you find that you stay on top of washing and folding
71	--------------------
72	Hi there, how are you today? What have you been up to lately? 
73	I'm doing fine thank you. Earlier today, I was busy with some household chores. 
74	Oh, I see. What kind of chores were you doing? 
75	I started with the laundry. I usually do it once every two weeks or so. 
76	That's actual typical.
77	Yeah it saves us time, money, and energy. Primarily, after washing clothes, I hang give priority to different sub-groups e.g colors in washing line hang those can be mishandled unless deliberately. 
78	Gotcha.
79	P & F pause talking until appropiate time[]
80	hm hm meanwhile 
81	--------------------
82	How was your day, did you do anything interesting?
83	Well, I did some cleaning and laundry today.
84	What kind of cleaning were you doing?
85	I washed the dishes, swept the floor and dusted the furniture.
86	When do you usually do your cleaning?
87	I usually clean a little every day to keep it manageable.
88	That's smart, how about laundry?
89	I wash my laundry once a week on Mondays.
90	Do you sort the clothes into colors or use any particular washing powder?
91	Yes, I sorted them by color and used my usual washing detergent.
92	Do you have someone help you with these tasks?
93	No, I can manage it
94	--------------------
95	Hey, how have you been doing lately?
96	I've been alright, just trying to keep up with everything around the house.
97	What kind of things have you been focusing on in terms of domestic life?
98	Mainly preparing meals and trying to stay organized with cleaning.
99	That sounds like a lot to handle. Can you tell me more about meal preparation?
100	Sure, I've been trying to plan ahead by making a menu for the week. It helps save time and ensures I have all the ingredients I need.
101	When do you usually do the menu planning?
102	I usually allot a few hours in the beginning of the week to plan it all out, like on Monday morning.
103	--------------------
104	Can you tell me about how you prepare your meals?
105	Sure, I usually make breakfast around 8 in the morning. For lunch I just eat some leftovers or make a sandwich.
106	That's interesting, how do you usually make your breakfast?
107	I typically just make pancakes or scrambled eggs. Occasionally I'll make oatmeal or cinnamon rolls from scratch.
108	Do you eat your meals in a certain area of your house?
109	Yes, I always eat at the table in the kitchen. It keeps me from making a mess elsewhere and makes me feel more comfortable.
110	What does your laundry routine look like?
111	I typically wash clothes every other day using our
112	--------------------
113	How do you usually spend your day, what do you do?
114	First thing in the morning, I take a shower. Then, I prepare some light breakfast.
115	What do you usually prefer eating in the morning?
116	Usually, toasted bread with butter or jam, with a cup of coffee.
117	Do you cook or usually eat something from second hand?
118	Fortunately, I’m not completely dependent on fast food; I know a few tricks to cooking an easy meal using only fresh produce.
119	When do you usually practise cooking?
120	Mostly evenings for breakfast and better meal for sure.
121	What kitchen gadget you mostly ve?
122	I thankfully now have anti slip dishwasher which makes my task
123	--------------------
124	How is your day going, how was your morning?
125	I had a troublesome start. It happened again, the fridge indicator did not cool and had blink-in pause wrangle for a moment before opening the cans and got it cheap.
126	When did this happen?
127	It’s occurred always early at morning, especially eve day before pizza delivery night. Have gone through many times before exchanging indicator tubies.
128	Have you tried helping yourself fixing the indicator on your own?
129	One time, I just tampered getting caution out and left mechanism hanging, real-life breaker with knowledge ceased plus handled in life process till done wrong.
130	Why didn't it 'cause a death electrominescier ? Aren
131	--------------------
