	utterances
0	So how is your day going so far?
1	It's been alright I suppose, just trying to get through my daily routine.
2	What kind of tasks do you usually have on your daily routine?
3	Well, nothing too complicated these days. I wake up and take my medication. Then, I have breakfast usually, watch some news, and then go for a walk if the weather is nice.
4	That sounds like a nice routine. Does anything stressful or demanding come up during those tasks?
5	Sometimes simple tasks like cooking or cleaning can become overwhelming and drain me of my energy, but I usually take things slowly to make them more manageable.
6	That's understandable. Have you considered asking for help with those
7	--------------------
8	What do you usually do during early mornings, Ms. Nelson?
9	I take a little walk, prepare my breakfast, and open the newspaper to start my day.
10	That's great. How do you prepare your breakfast?
11	I usually cook some scrambled eggs, prepare some toast and add fruits and a glass of low-fat milk.
12	That's healthy. How do you manage to do everything all at once?
13	Well, through time-used skills and regular dial setting I manage to cut down my time to get everything done efficiently. 
14	Seems like quite the task alright, Do you do anything outwork-like mid-day?
15	Actually, yes. Right after lunch, I practice my piano work for
16	--------------------
17	What do you like to do to keep busy during your day? 
18	I clean my apartmenttwicea day. 
19	surprised That's a lot of cleaning! When do you do it?
20	I do immediately afterwalking a dog every morning.do it againbefore Sleeping, thus usually happen at 8 PM.
21	Do you think cleaning helps you to relieve your stress?
22	I think so.Cleaninghelps lot after the Surgery last year.
23	Do you haveappointmentregular and yoga in hall medical rehabilitation establishment?
24	Yes.Leave foFriday mornings.I do exerciseforwarddoctor-directed.
25	--------------------
26	Hi, how have you been lately?
27	Oh, just taking it day by day.
28	I understand. Have you been keeping busy with any activities recently?
29	Well, I suppose keeping up with the housework keeps me moving.
30	That sounds good. How specifically do you usually manage your daily tasks?
31	Mostly I start with some light cleaning in the morning, then I’ll go through my mail and pay any bills if I need to. Later in the day, I’ll prep dinner, feed the cat, and settle in with a good book.
32	It seems like you typically have quite a full day! How do you when you need to take breaks?
33	Oh, well I take plenty
34	--------------------
35	How was your day today?
36	It was confusing and exhausting. There were many unexpected things happening today.
37	What kind of unexpected things?
38	I received a call from my supermarket saying there was an error in my last transaction, and I have to come to the store for them to fix it.
39	Oh, that's unfortunate. Did you go to the store to sort it out?
40	Yes, I did. But when I came back, I couldn't remember if I turned off the oven. I had to go back and check it.
41	That sounds stressful. Did you turn it off?
42	Yes, it was off. Fortunately. But then I realized that I forgot to deposit the money
43	--------------------
44	Hey there! How have you been feeling lately?
45	I’ve been ok, just a little tired.
46	What’s keeping you busy these days?
47	Oh, I’ve been doing some light gardening outside, just planting a few flowers and such. It’s not really anything crazy.
48	I’ve always found gardening challenging. How have you managed so far?
49	It’s not too hard. Mainly getting up from the chair can be dizzying sometimes though.
50	What other things are on your daily to-do list?
51	Sometimes I go take a walk around the park or try to cook for myself. It’s just hard standing for too long these days.
52	When do you usually go for
53	--------------------
54	Have you had to manage any unexpected tasks lately?
55	Oh yes, yesterday I received a phone call and had to organize a medical appointment quickly
56	That must have been stressful. How did you adapt to the situation?
57	I took some deep breaths and then directed myself to make sure there fit an urgent medial specialty appointment in my schedule whiting the available spots
58	Wow sounds like you managed it well, did you have any difficulty in executive control understanding their instructions?
59	Yes it was acting tricky when remotely I dropped for instance wireless connections accidents.
60	Were you through explanations to contact with medcial service centers?
61	yes medical persone nicely accommodated errors promoting contact routine with back up numbers and
62	--------------------
63	How are you feeling today?
64	Oh, I'm feeling okay, just a bit tired.
65	What have you been up to today?
66	Just some mundane tasks like laundry and cleaning up around the house.
67	Do you find those kinds of tasks challenging? 
